UID,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
19-5-1,NO,YES,YES,PP1,OBJ,YES,PP2,YES
19-3-1,YES,YES,YES,PP1,V,NO,,YES
19-1-1,YES,YES,YES,PP1,V,NO,,NO
19-15-2,NO,YES,YES,PP1,OBJ,NO,,NO
19-13-2,NO,YES,YES,OBJ,PP1,YES,OBJ,NO
19-11-2,,,,,,,,
19-9-2,,,,,,,,NO
19-7-2,YES,NO,YES,NONE,NONE,NO,,NO
19-5-2,NO,YES,YES,PP1,OBJ,NO,,NO
19-3-2,,,,,,,,
19-1-2,YES,YES,YES,PP1,V,NO,,NO
208-16-1,NO,YES,YES,NONE,NONE,NO,,NO
208-14-1,YES,YES,YES,V,OBJ,NO,,NO
0208-12-1,YES,NO,YES,V,PP1,NO,,YES
0208-10-1,YES,YES,YES,V,PP1,NO,,NO
0208-8-1,NO,YES,YES,PP1,OBJ,NO,,YES
0208-6-1,NO,YES,YES,PP1,OBJ,NO,,NO
0208-4-1,YES,YES,YES,V,OBJ,NO,,NO
0208-2-1,NO,YES,YES,PP1,OBJ,NO,,NO
208-16-2,NO,YES,YES,OBJ,PP1,NO,,NO
208-14-2,YES,YES,YES,OBJ,NONE,YES,PP2,NO
0208-12-2,YES,YES,YES,V,OBJ,NO,,YES
0208-10-2,YES,YES,YES,OBJ,PP1,NO,,NO
0208-8-2,NO,YES,YES,PP1,OBJ,NO,,YES
0208-6-2,NO,YES,YES,OBJ,PP1,NO,,NO
0208-4-2,YES,YES,YES,NONE,NONE,NO,,NO
0208-2-2,YES,NO,YES,PP1,V,NO,,NO
