Filename,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,irt
210.37FDN,9750,True,False,False,210,37,5311
210.40FDN,5895,True,False,False,210,40,2595
210.27FQY,15646,True,True,True,210,27,942
210.9EQY,11111,False,True,True,210,9,1800
210.2EDY,5555,False,False,True,210,2,1020
210.10EDY,4875,False,False,True,210,10,0
210.6EDN,4308,False,False,False,210,6,0
210.14EDN,5215,False,False,False,210,14,4499
210.19FQY,7823,True,True,True,210,19,0
210.46FDN,5668,True,False,False,210,46,6508
210.21FQY,8843,True,True,True,210,21,202
210.32FDY,8956,True,False,True,210,32,2429
210.36FQN,8616,True,True,False,210,36,0
210.26FQY,13378,True,True,True,210,26,2829
210.41FDN,7369,True,False,False,210,41,919
210.5EDY,6009,False,False,True,210,5,0
210.13EQN,4535,False,True,False,210,13,0
210.18FQY,5782,True,True,True,210,18,442
210.7EQN,6349,False,True,False,210,7,0
210.3EDY,6122,False,False,True,210,3,1382
210.20FQY,10430,True,True,True,210,20,1668
210.47FDN,4421,True,False,False,210,47,0
210.38FDN,7142,True,False,False,210,38,4741
210.35FDN,9070,True,False,False,210,35,0
210.42FDN,4421,True,False,False,210,42,0
210.25FDY,9863,True,False,True,210,25,810
210.31FDY,9750,True,False,True,210,31,0
210.28FQY,5782,True,True,True,210,28,2902
210.33FDN,11337,True,False,False,210,33,932
210.23FQY,8730,True,True,True,210,23,840
210.44FQN,4195,True,True,False,210,44,0
210.4EDN,7596,False,False,False,210,4,7715
210.12EQY,5102,False,True,True,210,12,0
210.16EDN,4081,False,False,False,210,16,2071
210.15EQY,5782,False,True,True,210,15,952
210.11EQN,7142,False,True,False,210,11,0
210.30FDY,8163,True,False,True,210,30,1928
210.34FQN,8843,True,True,False,210,34,2098
210.24FQY,8730,True,True,True,210,24,1008
210.29FQY,4421,True,True,True,210,29,1170
210.39FDN,4648,True,False,False,210,39,0
210.43FDN,4421,True,False,False,210,43,1451
210.22FQY,7936,True,True,True,210,22,2789
210.45FQN,4761,True,True,False,210,45,1350
210.48FDN,8503,True,False,False,210,48,2132
210.1EQY,5215,False,True,True,210,1,595
210.17FQY,9637,True,True,True,210,17,1353
210.8EQN,17913,False,True,False,210,8,3269
204.19FQY,5102,True,True,True,204,19,1682
204.46FDN,7596,True,False,False,204,46,366
204.21FQY,9183,True,True,True,204,21,1662
204.9EQN,10997,False,True,False,204,9,272
204.37FDN,10090,True,False,False,204,37,420
204.2EDN,5215,False,False,False,204,2,1680
204.40FDN,5668,True,False,False,204,40,658
204.6EDY,5328,False,False,True,204,6,0
204.27FQY,10657,True,True,True,204,27,1380
204.12EQN,5895,False,True,False,204,12,1935
204.16EDY,4761,False,False,True,204,16,990
204.11EQY,1587,False,True,True,204,11,0
204.18FQY,6349,True,True,True,204,18,2929
204.15EQN,5102,False,True,False,204,15,1410
204.20FQY,12358,True,True,True,204,20,0
204.47FDN,4988,True,False,False,204,47,1530
204.5EDN,5328,False,False,False,204,5,2748
204.36FQN,11451,True,True,False,204,36,1292
204.32FDY,8163,True,False,True,204,32,0
204.26FQY,9183,True,True,True,204,26,289
204.7EQY,6349,False,True,True,204,7,1579
204.3EDN,4648,False,False,False,204,3,990
204.41FDN,3854,True,False,False,204,41,1380
204.33FDN,8276,True,False,False,204,33,0
204.23FQY,8390,True,True,True,204,23,0
204.44FQN,5328,True,True,False,204,44,450
204.14EDY,6235,False,False,True,204,14,1650
204.10EDN,6916,False,False,False,204,10,2549
204.38FDN,6462,True,False,False,204,38,780
204.35FDN,8843,True,False,False,204,35,368
204.42FDN,5782,True,False,False,204,42,1612
204.25FDY,9863,True,False,True,204,25,750
204.31FDY,12018,True,False,True,204,31,445
204.4EDY,5668,False,False,True,204,4,1110
204.28FQY,6009,True,True,True,204,28,849
204.22FQY,7823,True,True,True,204,22,512
204.45FQN,5328,True,True,False,204,45,1908
204.48FDN,10430,True,False,False,204,48,2162
204.13EQY,6575,False,True,True,204,13,1475
204.17FQY,8390,True,True,True,204,17,1262
204.1EQN,5328,False,True,False,204,1,1260
204.34FQN,10657,True,True,False,204,34,240
204.30FDY,10770,True,False,True,204,30,1012
204.24FQY,10884,True,True,True,204,24,3085
204.29FQY,5668,True,True,True,204,29,1140
204.39FDN,5555,True,False,False,204,39,870
204.8EQY,8730,False,True,True,204,8,930
204.43FDN,5102,True,False,False,204,43,2732
203.19FDY,3061,True,False,True,203,19,0
203.14EQN,3401,False,True,False,203,14,0
203.10EQY,3514,False,True,True,203,10,0
203.21FDY,4988,True,False,True,203,21,870
203.5EQY,5102,False,True,True,203,5,1110
203.46FQN,3514,True,True,False,203,46,1260
203.27FDY,5442,True,False,True,203,27,0
203.40FQN,3287,True,True,False,203,40,0
203.7EDN,5328,False,False,False,203,7,660
203.3EQY,8616,False,True,True,203,3,0
203.37FQN,3854,True,True,False,203,37,960
203.18FDY,2834,True,False,True,203,18,0
203.47FQN,2607,True,True,False,203,47,1470
203.9EDY,4875,False,False,True,203,9,0
203.20FDY,4988,True,False,True,203,20,0
203.41FQN,3514,True,True,False,203,41,0
203.2EQY,5895,False,True,True,203,2,0
203.26FDY,5442,True,False,True,203,26,0
203.32FQY,7483,True,True,True,203,32,0
203.36FDN,4535,True,False,False,203,36,0
203.6EQN,4988,False,True,False,203,6,540
203.13EDN,4195,False,False,False,203,13,1015
203.44FDN,4648,True,False,False,203,44,0
203.23FDY,5668,True,False,True,203,23,0
203.33FQN,5668,True,True,False,203,33,0
203.12EDY,3174,False,False,True,203,12,0
203.16EQN,3514,False,True,False,203,16,0
203.28FDY,3061,True,False,True,203,28,0
203.1EDY,4988,False,False,True,203,1,0
203.31FQY,6575,True,True,True,203,31,0
203.25FQY,4081,True,True,True,203,25,1378
203.42FQN,4421,True,True,False,203,42,0
203.35FQN,6462,True,True,False,203,35,0
203.8EDN,3287,False,False,False,203,8,1560
203.38FQN,4761,True,True,False,203,38,0
203.48FQN,4988,True,True,False,203,48,0
203.45FDN,3854,True,False,False,203,45,0
203.22FDY,5102,True,False,True,203,22,0
203.17FDY,8730,True,False,True,203,17,0
203.11EDN,4195,False,False,False,203,11,660
203.15EDY,3401,False,False,True,203,15,0
203.43FQN,2947,True,True,False,203,43,0
