UID,ADDR,SID,ITEM,BSID,IID,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI,COMMENT
19-1-2,19.1X,19,1EQY,B7,1,X,1X,YES,YES,YES,PP1,V,NO,,NO,
19-3-1,19.3Y,19,3EDY,B7,3,Y,1X,YES,YES,YES,PP1,V,NO,,YES,
19-5-2,19.5X,19,5EDY,B7,5,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
19-15-1,19.15Y,19,15EQY,B7,15,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
19-1-1,19.1Y,19,1EQY,B7,1,Y,1X,YES,YES,YES,PP1,V,NO,,NO,
19-5-1,19.5Y,19,5EDY,B7,5,Y,1X,NO,YES,YES,PP1,OBJ,YES,PP2,YES,
19-9-1,19.9Y,19,9EQY,B7,9,Y,1X,NO,YES,YES,PP1,OBJ,YES,PP2,NO,
19-15-2,19.15X,19,15EQY,B7,15,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
22-4-1,22.4Y,22,4EQY,B2,4,Y,16Y,YES,YES,YES,PP1,NONE,NO,,NO,
22-2-1,22.2Y,22,2EQN,B2,2,Y,16Y,YES,YES,YES,PP1,V,NO,,NO,
208-2-2,208.2X,208,2EQY,B8,2,X,1X,YES,NO,YES,PP1,V,NO,,NO,
208-8-1,208.8Y,208,8EDN,B8,8,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES,
208-2-1,208.2Y,208,2EQY,B8,2,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
208-6-1,208.6Y,208,6EQN,B8,6,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
208-8-2,208.8X,208,8EDN,B8,8,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES,
4-13-2,4.13X,4,13EDN,B4,13,X,16Y,NO,YES,YES,PP1,OBJ,YES,PP2,YES,
4-11-1,4.11Y,4,11EDN,B4,11,Y,16Y,NO,YES,YES,PP1,OBJ,YES,PP2,YES,
4-9-2,4.9X,4,9EDY,B4,9,X,16Y,NO,YES,YES,PP1,OBJ,YES,OBJ,YES,
4-5-2,4.5X,4,5EQY,B4,5,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,
4-1-2,4.1X,4,1EDY,B4,1,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,
4-13-1,4.13Y,4,13EDN,B4,13,Y,16Y,YES,YES,YES,PP1,NONE,YES,PP1,YES,
4-7-2,4.7X,4,7EDN,B4,7,X,16Y,NO,YES,YES,PP1,OBJ,YES,PP2,YES,
4-5-1,4.5Y,4,5EQY,B4,5,Y,16Y,YES,YES,YES,PP1,V,YES,PP2,NO,
4-1-1,4.1Y,4,1EDY,B4,1,Y,16Y,YES,YES,YES,PP1,V,NO,,YES,
203-1-2,203.1X,203,1EQY,B3,1,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
203-3-1,203.3Y,203,3EDY,B3,3,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES,
203-7-1,203.7Y,203,7EQN,B3,7,Y,1X,NO,YES,YES,PP1,OBJ,YES,PP2,NO,
203-13-2,203.13X,203,13EQN,B3,13,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,
