Speaker ID,Recording ID,X or Y,First Recording For Speaker,Break after V?,Break after OBJ?,Break after PP1?,Strongest break?,Weakest break?,Struggle?,Start of struggle,Question?,Silence after reading (Y/R1),Silence before reading (X/R2)
5,5.12EDN_Y,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO,,
5,5.13EDY_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,,
5,5.14EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
7,7.16EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
7,7.15EDY_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.14EQN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
7,7.13EDN_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.12EDY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.11EDN_Y,Y,16X,NO,YES,YES,NONE,NONE,NO,,NO,,
7,7.10EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
7,7.9EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
7,7.8EDN_X,X,16X,,,,,,,,,"Speaker creates new PP? ""Roof of the rack""?",
7,7.7EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,,
7,7.6EQN_X,X,16X,NO,YES,YES,OBJ,PP1,NO,,YES,,
7,7.5EQY_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
7,7.4EQN_X,X,16X,NO,NO,NO,NONE,NONE,NO,,YES,Speaker omits Prep in PP1?,
7,7.3EQY_Y,Y,16X,NO,YES,YES,NONE,NONE,NO,,NO,,
7,7.2EQY_X,X,16X,NO,YES,YES,NONE,NONE,YES,START,YES,Speaker stumbles through sentence,
7,7.1EDY_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,,
9,9.16EQY_Y,Y,16Y,YES,NO,YES,PP1,V,NO,,YES,,
9,9.15EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
9,9.14EQY_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.13EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.12EDN_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
9,9.11EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.10EQN_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,YES,"Because no break after obj., this sentence makes no sense",
9,9.9EDN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
9,9.8EDY_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.7EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.6EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
9,9.5EQN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
9,9.4EQY_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
9,9.3EQN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,,
9,9.2EQN_Y,Y,16Y,NO,YES,NO,OBJ,PP1,NO,,YES,,
9,9.1EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
5,5.14EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
5,5.13EDY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
5,5.12EDN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO,,
5,5.9EDN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO,,
5,5.8EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
5,5.4EQY_X,X,1X,NO,YES,YES,PP1,OBJ,YES,PP1,YES,,
5,5.3EQN_Y,Y,1X,NO,NO,YES,PP1,OBJ,NO,,YES,,
5,5.2EQN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES,,
7,7.1EDY_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO,Changes preposition?  look up.,
7,7.2EQY_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
7,7.3EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.4EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
7,7.5EQY_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
7,7.6EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
7,7.7EDN_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.8EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,Again creates new PP - roof of the rack,
7,7.9EDY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.10EQY_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
7,7.11EDN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO,,
7,7.12EDY_Y,Y,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
7,7.13EDN_X,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO,,
7,7.14EQN_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES,,
7,7.15EDY_X,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
7,7.16EQN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES,,
9,9.1EDN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
9,9.2EQN_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,YES,,
9,9.3EQN_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
9,9.4EQY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
9,9.5EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
9,9.6EQY_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,YES,,
9,9.7EDY_Y,Y,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.8EDY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
9,9.9EDN_Y,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO,,
9,9.10EQN_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,NO,,
9,9.11EDY_Y,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO,,
9,9.12EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
9,9.13EDY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
9,9.14EQY_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,NO,,
9,9.15EDN_Y,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO,,
9,9.16EQY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.1EDY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
11,11.3EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.4EQN_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.5EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.6EQN_Y,Y,1Y,YES,YES,NO,OBJ,V,NO,,YES,,
11,11.7EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,YES,PP1,NO,,
11,11.8EDN_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
11,11.10EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO,,
11,11.11EDN_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
11,11.15EDY_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
11,11.16EQN_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
13,13.16EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
13,13.15EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,,
13,13.14EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
13,13.13EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.12EDN_X,X,16X,NO,NO,YES,PP1,NONE,NO,,NO,,
13,13.11EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.10EQN_X,X,16X,YES,NO,YES,PP1,V,NO,,YES,,
13,13.9EDN_Y,Y,16X,NO,YES,YES,NONE,NONE,NO,,NO,,
13,13.8EDY_X,X,16X,NO,YES,YES,OBJ,PP1,YES,PP1,NO,,
13,13.7EDY_Y,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO,,
13,13.6EQY_X,X,16X,NO,NO,YES,PP1,NONE,NO,,YES,,
13,13.5EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,NO,,YES,,
13,13.4EQY_X,X,16X,NO,YES,YES,PP1,OBJ,YES,PP2,NO,,
13,13.3EQN_Y,Y,16X,NO,YES,NO,OBJ,NONE,YES,PP2,YES,,
13,13.2EQN_X,X,16X,NO,NO,YES,PP1,NONE,NO,START,YES,,
13,13.1EDN_Y,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO,,
15,15.1EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.2EQY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
15,15.3EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.4EQN_Y,Y,1X,YES,YES,YES,PP1,V,NO,,YES,,
15,15.5EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.6EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES,,
15,15.7EDN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO,,
15,15.8EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.9EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
15,15.10EQY_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES,,
15,15.11EDN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
15,15.12EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.13EDN_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO,,
15,15.14EQN_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES,,
15,15.15EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO,,
15,15.16EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES,,
17,17.16EQY_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
17,17.15EDN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
17,17.14EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
17,17.13EDY_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
17,17.12EDN_Y,Y,16Y,YES,NO,YES,PP1,V,NO,,NO,,
17,17.11EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
17,17.10EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,,
17,17.9EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
17,17.8EDY_Y,Y,16Y,YES,YES,YES,PP1,OBJ,NO,,NO,,
17,17.7EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO,,
17,17.6EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES,,
17,17.5EQN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,YES,rising intonation very subtle,
17,17.4EQY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES,,
17,17.3EQN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO,,
17,17.2EQN_Y,Y,16Y,YES,YES,YES,PP1,V,NO,,YES,,
17,17.1EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
11,11.16EQN_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES,,
11,11.15EDY_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
11,11.11EDN_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO,,
11,11.10EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO,,
11,11.8EDN_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO,,
11,11.7EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,YES,PP1,NO,,
11,11.6EQN_Y,Y,1Y,YES,YES,NO,V,OBJ,NO,,YES,,
