STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
OBJ,YES,10-11-2,FALSE,NO,NONE,,OBJ,11,NO,Y,TRUE,YES,10,11EQN,11EQN,2,NO,OBJ ,1X
PP1,NO,10-12-1,TRUE,YES,V,,PP1,12,YES,X,TRUE,YES,10,12EQY,12EQY,1,NO,PP1 > V,1X
PP1,NO,10-12-2,TRUE,YES,V,,PP1,12,YES,Y,TRUE,YES,10,12EQY,12EQY,2,NO,PP1 > V,1X
OBJ,YES,10-13-1,FALSE,NO,NONE,,OBJ,13,NO,X,TRUE,YES,10,13EQN,13EQN,1,NO,OBJ ,1X
OBJ,YES,10-13-2,FALSE,NO,NONE,,OBJ,13,NO,Y,TRUE,YES,10,13EQN,13EQN,2,NO,OBJ ,1X
OBJ,YES,10-14-1,FALSE,NO,NONE,,OBJ,14,NO,X,FALSE,NO,10,14EDN,14EDN,1,NO,OBJ ,1X
OBJ,YES,10-14-2,FALSE,NO,PP1,,OBJ > PP1,14,YES,Y,FALSE,NO,10,14EDN,14EDN,2,NO,OBJ > PP1,1X
PP1,YES,10-15-1,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,X,TRUE,YES,10,15EQY,15EQY,1,NO,PP1 > OBJ,1X
PP1,YES,10-15-2,TRUE,NO,OBJ,,PP1 > OBJ,15,YES,Y,TRUE,YES,10,15EQY,15EQY,2,NO,PP1 > OBJ,1X
NONE,YES,10-16-1,FALSE,NO,NONE,,OBJ PP1,16,YES,X,FALSE,NO,10,16EDN,16EDN,1,NO,OBJ PP1,1X
OBJ,YES,10-16-2,FALSE,NO,PP1,,OBJ > PP1,16,YES,Y,FALSE,NO,10,16EDN,16EDN,2,NO,OBJ > PP1,1X
PP1,YES,10-2-1,TRUE,NO,OBJ,,PP1 > OBJ,2,YES,X,FALSE,NO,10,2EDY,2EDY,1,NO,PP1 > OBJ,1X
PP1,YES,10-2-2,TRUE,NO,OBJ,,PP1 > OBJ,2,YES,Y,FALSE,NO,10,2EDY,2EDY,2,NO,PP1 > OBJ,1X
PP1,YES,10-3-1,TRUE,NO,OBJ,,PP1 > OBJ,3,YES,X,FALSE,NO,10,3EDY,3EDY,1,NO,PP1 > OBJ,1X
OBJ,YES,10-3-2,TRUE,NO,PP1,,OBJ > PP1,3,YES,Y,FALSE,NO,10,3EDY,3EDY,2,NO,OBJ > PP1,1X
OBJ,YES,10-4-1,FALSE,NO,NONE,,OBJ,4,NO,X,FALSE,NO,10,4EDN,4EDN,1,NO,OBJ ,1X
PP1,YES,10-4-2,FALSE,NO,OBJ,,PP1 > OBJ,4,YES,Y,FALSE,NO,10,4EDN,4EDN,2,NO,PP1 > OBJ,1X
OBJ,YES,10-5-1,TRUE,NO,PP1,,OBJ > PP1,5,YES,X,FALSE,NO,10,5EDY,5EDY,1,NO,OBJ > PP1,1X
PP1,YES,10-5-2,TRUE,NO,OBJ,,PP1 > OBJ,5,YES,Y,FALSE,NO,10,5EDY,5EDY,2,NO,PP1 > OBJ,1X
PP1,NO,10-6-1,FALSE,NO,NONE,,PP1,6,YES,X,FALSE,NO,10,6EDN,6EDN,1,NO,PP1 ,1X
OBJ,YES,10-6-2,FALSE,NO,PP1,,OBJ > PP1,6,YES,Y,FALSE,NO,10,6EDN,6EDN,2,NO,OBJ > PP1,1X
OBJ,YES,10-7-1,FALSE,NO,PP1,,OBJ > PP1,7,YES,X,TRUE,YES,10,7EQN,7EQN,1,NO,OBJ > PP1,1X
PP1,YES,10-7-2,FALSE,NO,OBJ,,PP1 > OBJ,7,YES,Y,TRUE,YES,10,7EQN,7EQN,2,NO,PP1 > OBJ,1X
OBJ,YES,10-8-1,FALSE,NO,PP1,,OBJ > PP1,8,YES,X,TRUE,YES,10,8EQN,8EQN,1,NO,OBJ > PP1,1X
PP1,YES,10-8-2,FALSE,NO,OBJ,,PP1 > OBJ,8,YES,Y,TRUE,YES,10,8EQN,8EQN,2,NO,PP1 > OBJ,1X
PP1,YES,10-9-1,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,X,TRUE,YES,10,9EQY,9EQY,1,NO,PP1 > OBJ,1X
PP1,YES,10-9-2,TRUE,NO,OBJ,,PP1 > OBJ,9,YES,Y,TRUE,YES,10,9EQY,9EQY,2,NO,PP1 > OBJ,1X
PP1,NO,11-1-1,TRUE,NO,NONE,,PP1,1,YES,X,FALSE,NO,11,1EDY,11.1EDY_X,1,NO,PP1 ,1Y
