Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading
210.33FDN_r2.wav,7350,27.88,11337.88,TRUE,FALSE,FALSE,210,33,3960,2
210.23FQY_r2.wav,3990,1230.12,8730.12,TRUE,TRUE,TRUE,210,23,3510,2
210.44FQN_r1.wav,660,25,4195,TRUE,TRUE,FALSE,210,44,3510,1
210.4EDN_r1.wav,990,3126.38,7596.38,FALSE,FALSE,FALSE,210,4,3480,1
210.12EQY_r1.wav,780,842,5102,FALSE,TRUE,TRUE,210,12,3480,1
210.16EDN_r1.wav,600,421.62,4081.62,FALSE,FALSE,FALSE,210,16,3060,1
210.33FDN_r1.wav,630,1292,5102,TRUE,FALSE,FALSE,210,33,3180,1
210.23FQY_r1.wav,690,2079.12,6009.12,TRUE,TRUE,TRUE,210,23,3240,1
210.44FQN_r2.wav,1020,4713.62,9183.62,TRUE,TRUE,FALSE,210,44,3450,2
210.12EQY_r2.wav,1140,133.75,9523.75,FALSE,TRUE,TRUE,210,12,8250,2
210.4EDN_r2.wav,4800,0.12,8730.12,FALSE,FALSE,FALSE,210,4,3930,2
210.16EDN_r2.wav,5910,540.62,9750.62,FALSE,FALSE,FALSE,210,16,3300,2
210.15EQY_r1.wav,900,1282.38,5782.38,FALSE,TRUE,TRUE,210,15,3600,1
210.11EQN_r1.wav,960,2462.88,7142.88,FALSE,TRUE,FALSE,210,11,3720,1
210.30FDY_r2.wav,4050,333.25,8163.25,TRUE,FALSE,TRUE,210,30,3780,2
210.34FQN_r2.wav,4020,923.5,8843.5,TRUE,TRUE,FALSE,210,34,3900,2
210.24FQY_r2.wav,4290,750.12,8730.12,TRUE,TRUE,TRUE,210,24,3690,2
210.29FQY_r1.wav,1110,11.75,4421.75,TRUE,TRUE,TRUE,210,29,3300,1
210.39FDN_r1.wav,720,478.5,4648.5,TRUE,FALSE,FALSE,210,39,3450,1
210.43FDN_r1.wav,660,671.75,4421.75,TRUE,FALSE,FALSE,210,43,3090,1
210.15EQY_r2.wav,4620,196.88,8956.88,FALSE,TRUE,TRUE,210,15,4140,2
210.11EQN_r2.wav,5490,774,9864,FALSE,TRUE,FALSE,210,11,3600,2
210.30FDY_r1.wav,840,428.62,4988.62,TRUE,FALSE,TRUE,210,30,3720,1
210.34FQN_r1.wav,990,1018.88,5668.88,TRUE,TRUE,FALSE,210,34,3660,1
210.24FQY_r1.wav,930,1158.75,5328.75,TRUE,TRUE,TRUE,210,24,3240,1
210.29FQY_r2.wav,1170,13.38,8503.38,TRUE,TRUE,TRUE,210,29,7320,2
210.39FDN_r2.wav,2340,22.75,6802.75,TRUE,FALSE,FALSE,210,39,4440,2
210.43FDN_r2.wav,3150,22.75,6802.75,TRUE,FALSE,FALSE,210,43,3630,2
210.22FQY_r2.wav,3810,16.5,7936.5,TRUE,TRUE,TRUE,210,22,4110,2
210.45FQN_r1.wav,840,261.88,4761.88,TRUE,TRUE,FALSE,210,45,3660,1
210.48FDN_r2.wav,4440,313.38,8503.38,TRUE,FALSE,FALSE,210,48,3750,2
210.1EQY_r1.wav,900,385.38,5215.38,FALSE,TRUE,TRUE,210,1,3930,1
210.17FQY_r2.wav,5130,547.25,9637.25,TRUE,TRUE,TRUE,210,17,3960,2
210.8EQN_r2.wav,5880,5613.88,17913.88,FALSE,TRUE,FALSE,210,8,6420,2
210.22FQY_r1.wav,780,912.12,5442.12,TRUE,TRUE,TRUE,210,22,3750,1
210.45FQN_r2.wav,3900,4.12,10204.12,TRUE,TRUE,FALSE,210,45,6300,2
210.48FDN_r1.wav,960,512,5102,TRUE,FALSE,FALSE,210,48,3630,1
