filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
6.23FQY,6,True,True,23,1500,True
6.24FQY,6,True,True,24,1000,True
6.25FDY,6,True,False,25,1250,True
6.26FQY,6,True,True,26,1900,True
6.27FQY,6,True,True,27,1850,True
6.28FQY,6,True,True,28,1500,True
6.29FQY,6,True,True,29,3450,True
6.2EDY,6,True,False,2,2100,False
6.30FDY,6,True,False,30,1250,True
6.31FDY,6,True,False,31,1500,True
6.32FDY,6,True,False,32,2000,True
6.33FDN,6,False,False,33,3650,True
6.34FQN,6,False,True,34,2100,True
6.35FDN,6,False,False,35,1900,True
6.36FQN,6,False,True,36,1199,True
6.37FDN,6,False,False,37,2650,True
6.38FDN,6,False,False,38,1700,True
6.39FDN,6,False,False,39,1550,True
6.3EDY,6,True,False,3,1650,False
6.40FDN,6,False,False,40,2300,True
6.41FDN,6,False,False,41,2000,True
6.42FDN,6,False,False,42,2100,True
6.43FDN,6,False,False,43,1600,True
6.44FQN,6,False,True,44,3450,True
6.45FQN,6,False,True,45,1099,True
6.46FDN,6,False,False,46,1450,True
6.47FDN,6,False,False,47,3200,True
6.48FDN,6,False,False,48,5200,True
6.4EDN,6,False,False,4,1450,False
6.5EDY,6,True,False,5,2550,False
6.6EDN,6,False,False,6,2000,False
6.7EQN,6,False,True,7,950,False
6.8EQN,6,False,True,8,2200,False
6.9EQY,6,True,True,9,2550,False
7.10EQY,7,True,True,10,1900,False
7.11EDN,7,False,False,11,950,False
7.12EDY,7,True,False,12,450,False
7.13EDN,7,False,False,13,749,False
7.14EQN,7,False,True,14,999,False
7.15EDY,7,True,False,15,999,False
7.16EQN,7,False,True,16,1799,False
7.17FDY,7,True,False,17,650,True
7.18FDY,7,True,False,18,450,True
7.19FDY,7,True,False,19,1350,True
7.1EDY,7,True,False,1,1250,False
7.20FDY,7,True,False,20,3000,True
7.21FDY,7,True,False,21,1399,True
7.22FDY,7,True,False,22,2250,True
7.23FDY,7,True,False,23,1750,True
7.24FDY,7,True,False,24,1200,True
7.25FQY,7,True,True,25,699,True
7.26FDY,7,True,False,26,1300,True
7.27FDY,7,True,False,27,849,True
7.28FDY,7,True,False,28,1500,True
7.29FDY,7,True,False,29,549,True
7.2EQY,7,True,True,2,1050,False
7.30FQY,7,True,True,30,1250,True
7.31FQY,7,True,True,31,2200,True
7.32FQY,7,True,True,32,1850,True
7.33FQN,7,False,True,33,1600,True
7.34FDN,7,False,False,34,3200,True
7.35FQN,7,False,True,35,850,True
7.36FDN,7,False,False,36,850,True
7.37FQN,7,False,True,37,1400,True
7.38FQN,7,False,True,38,1850,True
7.39FQN,7,False,True,39,1600,True
7.3EQY,7,True,True,3,449,False
7.40FQN,7,False,True,40,900,True
7.41FQN,7,False,True,41,2100,True
7.42FQN,7,False,True,42,1800,True
7.43FQN,7,False,True,43,-1,True
7.44FDN,7,False,False,44,1550,True
7.45FDN,7,False,False,45,999,True
7.46FQN,7,False,True,46,2800,True
7.47FQN,7,False,True,47,1300,True
7.48FQN,7,False,True,48,0,True
7.4EQN,7,False,True,4,950,False
7.5EQY,7,True,True,5,1050,False
7.6EQN,7,False,True,6,1300,False
7.7EDN,7,False,False,7,650,False
7.8EDN,7,False,False,8,950,False
7.9EDY,7,True,False,9,2000,False
8.10EDN,8,False,False,10,599,False
8.12EQN,8,False,True,12,0,False
8.13EQY,8,True,True,13,2449,False
8.14EDY,8,True,False,14,0,False
8.17FQY,8,True,True,17,1900,True
8.1EQN,8,False,True,1,1550,False
8.20FQY,8,True,True,20,4900,True
