filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
1.10EQN,1,False,True,10,NA,False
1.11EDY,1,True,False,11,NA,False
1.12EDN,1,False,False,12,NA,False
1.13EDY,1,True,False,13,NA,False
1.14EQY,1,True,True,14,NA,False
1.15EDN,1,False,False,15,NA,False
1.16EQY,1,True,True,16,NA,False
1.17FDY,1,True,False,17,NA,True
1.18FDY,1,True,False,18,NA,True
1.19FDY,1,True,False,19,NA,True
1.1EDN,1,False,False,1,NA,False
1.20FDY,1,True,False,20,NA,True
1.21FDY,1,True,False,21,NA,True
1.22FDY,1,True,False,22,NA,True
1.23FDY,1,True,False,23,NA,True
1.24FDY,1,True,False,24,NA,True
1.25FQY,1,True,True,25,NA,True
1.26FDY,1,True,False,26,NA,True
1.27FDY,1,True,False,27,NA,True
1.28FDY,1,True,False,28,NA,True
1.29FDY,1,True,False,29,NA,True
1.2EQN,1,False,True,2,NA,False
1.30FQY,1,True,True,30,NA,True
1.31FQY,1,True,True,31,NA,True
1.32FQY,1,True,True,32,NA,True
1.33FQN,1,False,True,33,NA,True
1.34FDN,1,False,False,34,NA,True
1.35FQN,1,False,True,35,NA,True
1.36FDN,1,False,False,36,NA,True
1.37FQN,1,False,True,37,NA,True
1.38FQN,1,False,True,38,NA,True
1.39FQN,1,False,True,39,NA,True
1.3EQN,1,False,True,3,NA,False
1.40FQN,1,False,True,40,NA,True
1.41FQN,1,False,True,41,NA,True
1.42FQN,1,False,True,42,NA,True
1.43FQN,1,False,True,43,NA,True
1.44FDN,1,False,False,44,NA,True
1.45FDN,1,False,False,45,NA,True
1.46FQN,1,False,True,46,NA,True
1.47FQN,1,False,True,47,NA,True
1.48FQN,1,False,True,48,NA,True
1.4EQY,1,True,True,4,NA,False
1.5EQN,1,False,True,5,NA,False
1.6EQY,1,True,True,6,NA,False
1.7EDY,1,True,False,7,NA,False
1.8EDY,1,True,False,8,NA,False
1.9EDN,1,False,False,9,NA,False
10.10EDY,10,True,False,10,NA,False
10.11EQN,10,False,True,11,NA,False
10.12EQY,10,True,True,12,NA,False
10.13EQN,10,False,True,13,NA,False
10.14EDN,10,False,False,14,NA,False
10.15EQY,10,True,True,15,NA,False
10.16EDN,10,False,False,16,NA,False
10.17FQY,10,True,True,17,NA,True
10.18FQY,10,True,True,18,NA,True
10.19FQY,10,True,True,19,NA,True
10.1EQY,10,True,True,1,NA,False
10.20FQY,10,True,True,20,NA,True
10.21FQY,10,True,True,21,NA,True
10.22FQY,10,True,True,22,NA,True
10.23FQY,10,True,True,23,NA,True
10.24FQY,10,True,True,24,NA,True
10.25FDY,10,True,False,25,NA,True
10.26FQY,10,True,True,26,NA,True
10.27FQY,10,True,True,27,NA,True
10.28FQY,10,True,True,28,NA,True
10.29FQY,10,True,True,29,NA,True
