Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading
210.33FDN_r1.wav,630.0,1292.0,5102.0,True,False,False,210,33,3180.0,1
210.23FQY_r1.wav,690.0,2079.12,6009.12,True,True,True,210,23,3240.0,1
210.44FQN_r2.wav,1020.0,4713.62,9183.62,True,True,False,210,44,3450.0,2
210.12EQY_r2.wav,1140.0,133.75,9523.75,False,True,True,210,12,8250.0,2
210.4EDN_r2.wav,4800.0,0.12,8730.12,False,False,False,210,4,3930.0,2
210.16EDN_r2.wav,5910.0,540.62,9750.62,False,False,False,210,16,3300.0,2
210.15EQY_r1.wav,900.0,1282.38,5782.38,False,True,True,210,15,3600.0,1
210.11EQN_r1.wav,960.0,2462.88,7142.88,False,True,False,210,11,3720.0,1
210.30FDY_r2.wav,4050.0,333.25,8163.25,True,False,True,210,30,3780.0,2
210.34FQN_r2.wav,4020.0,923.5,8843.5,True,True,False,210,34,3900.0,2
210.24FQY_r2.wav,4290.0,750.12,8730.12,True,True,True,210,24,3690.0,2
210.29FQY_r1.wav,1110.0,11.75,4421.75,True,True,True,210,29,3300.0,1
210.39FDN_r1.wav,720.0,478.5,4648.5,True,False,False,210,39,3450.0,1
210.43FDN_r1.wav,660.0,671.75,4421.75,True,False,False,210,43,3090.0,1
210.15EQY_r2.wav,4620.0,196.88,8956.88,False,True,True,210,15,4140.0,2
210.11EQN_r2.wav,5490.0,774.0,9864.0,False,True,False,210,11,3600.0,2
210.30FDY_r1.wav,840.0,428.62,4988.62,True,False,True,210,30,3720.0,1
210.34FQN_r1.wav,990.0,1018.88,5668.88,True,True,False,210,34,3660.0,1
210.24FQY_r1.wav,930.0,1158.75,5328.75,True,True,True,210,24,3240.0,1
210.29FQY_r2.wav,1170.0,13.38,8503.38,True,True,True,210,29,7320.0,2
210.39FDN_r2.wav,2340.0,22.75,6802.75,True,False,False,210,39,4440.0,2
210.43FDN_r2.wav,3150.0,22.75,6802.75,True,False,False,210,43,3630.0,2
210.22FQY_r2.wav,3810.0,16.5,7936.5,True,True,True,210,22,4110.0,2
210.45FQN_r1.wav,840.0,261.88,4761.88,True,True,False,210,45,3660.0,1
210.48FDN_r2.wav,4440.0,313.38,8503.38,True,False,False,210,48,3750.0,2
210.1EQY_r1.wav,900.0,385.38,5215.38,False,True,True,210,1,3930.0,1
210.17FQY_r2.wav,5130.0,547.25,9637.25,True,True,True,210,17,3960.0,2
210.8EQN_r2.wav,5880.0,5613.88,17913.88,False,True,False,210,8,6420.0,2
210.22FQY_r1.wav,780.0,912.12,5442.12,True,True,True,210,22,3750.0,1
210.45FQN_r2.wav,3900.0,4.12,10204.12,True,True,False,210,45,6300.0,2
210.48FDN_r1.wav,960.0,512.0,5102.0,True,False,False,210,48,3630.0,1
210.1EQY_r2.wav,3450.0,716.62,8276.62,False,True,True,210,1,4110.0,2
210.17FQY_r1.wav,1200.0,3543.25,8163.25,True,True,True,210,17,3420.0,1
210.8EQN_r1.wav,540.0,21.5,3741.5,False,True,False,210,8,3180.0,1
204.19FQY_r1.wav,720.0,1022.0,5102.0,True,True,True,204,19,3360.0,1
204.46FDN_r1.wav,1020.0,2256.38,7596.38,True,False,False,204,46,4320.0,1
204.21FQY_r2.wav,1020.0,3.62,9183.62,True,True,True,204,21,8160.0,2
204.9EQN_r2.wav,1230.0,1307.75,10997.75,False,True,False,204,9,8460.0,2
204.19FQY_r2.wav,1680.0,1417.25,9637.25,True,True,True,204,19,6540.0,2
204.46FDN_r2.wav,1380.0,847.25,9637.25,True,False,False,204,46,7410.0,2
204.21FQY_r1.wav,720.0,1122.12,5442.12,True,True,True,204,21,3600.0,1
204.9EQN_r1.wav,960.0,512.0,5102.0,False,True,False,204,9,3630.0,1
204.37FDN_r2.wav,4440.0,910.75,10090.75,True,False,False,204,37,4740.0,2
204.2EDN_r1.wav,660.0,505.38,5215.38,False,False,False,204,2,4050.0,1
204.40FDN_r1.wav,750.0,898.88,5668.88,True,False,False,204,40,4020.0,1
204.6EDY_r1.wav,660.0,648.75,5328.75,False,False,True,204,6,4020.0,1
204.27FQY_r2.wav,1590.0,7.62,10657.62,True,True,True,204,27,9060.0,2
204.12EQN_r1.wav,810.0,765.75,5895.75,False,True,False,204,12,4320.0,1
204.16EDY_r1.wav,570.0,441.88,4761.88,False,False,True,204,16,3750.0,1
204.37FDN_r1.wav,660.0,1402.38,5782.38,True,False,False,204,37,3720.0,1
204.2EDN_r2.wav,1710.0,627.0,9297.0,False,False,False,204,2,6960.0,2
204.40FDN_r2.wav,1170.0,137.38,9977.38,True,False,False,204,40,8670.0,2
204.6EDY_r2.wav,1530.0,7091.12,11111.12,False,False,True,204,6,2490.0,2
204.27FQY_r1.wav,810.0,212.0,5102.0,True,True,True,204,27,4080.0,1
204.12EQN_r2.wav,1680.0,267.88,11337.88,False,True,False,204,12,9390.0,2
204.16EDY_r2.wav,1260.0,363.62,9183.62,False,False,True,204,16,7560.0,2
204.18FQY_r1.wav,900.0,1429.25,6349.25,True,True,True,204,18,4020.0,1
204.15EQN_r1.wav,870.0,152.0,5102.0,False,True,False,204,15,4080.0,1
204.20FQY_r2.wav,6660.0,778.25,12358.25,True,True,True,204,20,4920.0,2
204.47FDN_r1.wav,690.0,128.62,4988.62,True,False,False,204,47,4170.0,1
204.5EDN_r1.wav,630.0,1068.75,5328.75,False,False,False,204,5,3630.0,1
204.18FQY_r2.wav,1710.0,1254.38,10884.38,True,True,True,204,18,7920.0,2
204.15EQN_r2.wav,5130.0,1.0,10771.0,False,True,False,204,15,5640.0,2
204.20FQY_r1.wav,600.0,3156.0,6576.0,True,True,True,204,20,2820.0,1
204.47FDN_r2.wav,2880.0,26.62,8276.62,True,False,False,204,47,5370.0,2
204.5EDN_r2.wav,4980.0,871.0,10771.0,False,False,False,204,5,4920.0,2
204.36FQN_r2.wav,1920.0,1701.25,11451.25,True,True,False,204,36,7830.0,2
204.32FDY_r2.wav,1380.0,3.25,8163.25,True,False,True,204,32,6780.0,2
204.26FQY_r2.wav,930.0,933.62,9183.62,True,True,True,204,26,7320.0,2
204.7EQY_r1.wav,960.0,739.25,6349.25,False,True,True,204,7,4650.0,1
204.3EDN_r1.wav,750.0,118.5,4648.5,False,False,False,204,3,3780.0,1
204.41FDN_r1.wav,570.0,134.88,3854.88,True,False,False,204,41,3150.0,1
204.36FQN_r1.wav,1110.0,752.5,6122.5,True,True,False,204,36,4260.0,1
204.32FDY_r1.wav,900.0,158.62,4988.62,True,False,True,204,32,3930.0,1
204.26FQY_r1.wav,510.0,1039.25,6349.25,True,True,True,204,26,4800.0,1
204.7EQY_r2.wav,1290.0,1058.0,11678.0,False,True,True,204,7,9330.0,2
204.3EDN_r2.wav,1020.0,9.88,8049.88,False,False,False,204,3,7020.0,2
204.41FDN_r2.wav,1680.0,540.12,8730.12,True,False,False,204,41,6510.0,2
204.33FDN_r2.wav,1860.0,1316.62,8276.62,True,False,False,204,33,5100.0,2
204.23FQY_r2.wav,930.0,20.0,8390.0,True,True,True,204,23,7440.0,2
204.44FQN_r1.wav,660.0,108.75,5328.75,True,True,False,204,44,4560.0,1
204.33FDN_r1.wav,600.0,18.38,4308.38,True,False,False,204,33,3690.0,1
204.23FQY_r1.wav,1050.0,9.12,6009.12,True,True,True,204,23,4950.0,1
204.44FQN_r2.wav,450.0,6950.88,10430.88,True,True,False,204,44,3030.0,2
204.14EDY_r1.wav,690.0,115.88,6235.88,False,False,True,204,14,5430.0,1
204.10EDN_r1.wav,660.0,436.12,6916.12,False,False,False,204,10,5820.0,1
