filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
19.34FDN,19,False,False,34,1550,True
19.35FQN,19,False,True,35,600,True
19.36FDN,19,False,False,36,1750,True
19.37FQN,19,False,True,37,1350,True
19.38FQN,19,False,True,38,6600,True
19.39FQN,19,False,True,39,1050,True
19.3EQY,19,True,True,3,1950,False
19.40FQN,19,False,True,40,2200,True
19.41FQN,19,False,True,41,1600,True
19.42FQN,19,False,True,42,1600,True
19.43FQN,19,False,True,43,2100,True
19.44FDN,19,False,False,44,3700,True
19.45FDN,19,False,False,45,1250,True
19.46FQN,19,False,True,46,1050,True
19.47FQN,19,False,True,47,1800,True
19.48FQN,19,False,True,48,9100,True
19.4EQN,19,False,True,4,2650,False
19.5EQY,19,True,True,5,1600,False
19.6EQN,19,False,True,6,2000,False
19.7EDN,19,False,False,7,1150,False
19.8EDN,19,False,False,8,1950,False
19.9EDY,19,True,False,9,3150,False
2.10EDY,2,True,False,10,800,False
2.11EQN,2,False,True,11,500,False
2.12EQY,2,True,True,12,1450,False
2.13EQN,2,False,True,13,600,False
2.14EDN,2,False,False,14,1450,False
2.15EQY,2,True,True,15,400,False
2.16EDN,2,False,False,16,1200,False
2.17FQY,2,True,True,17,1350,True
2.18FQY,2,True,True,18,1300,True
2.19FQY,2,True,True,19,1200,True
2.1EQY,2,True,True,1,1400,False
2.20FQY,2,True,True,20,900,True
2.21FQY,2,True,True,21,1800,True
2.22FQY,2,True,True,22,1350,True
2.23FQY,2,True,True,23,1250,True
2.24FQY,2,True,True,24,1250,True
2.25FDY,2,True,False,25,2100,True
2.26FQY,2,True,True,26,5250,True
2.27FQY,2,True,True,27,1550,True
2.28FQY,2,True,True,28,1200,True
2.29FQY,2,True,True,29,550,True
2.2EDY,2,True,False,2,0,False
2.30FDY,2,True,False,30,1300,True
2.31FDY,2,True,False,31,1100,True
2.32FDY,2,True,False,32,950,True
2.33FDN,2,False,False,33,800,True
2.34FQN,2,False,True,34,1350,True
2.35FDN,2,False,False,35,1800,True
2.36FQN,2,False,True,36,2300,True
2.37FDN,2,False,False,37,1400,True
2.38FDN,2,False,False,38,1150,True
2.39FDN,2,False,False,39,1100,True
2.3EDY,2,True,False,3,2000,False
2.40FDN,2,False,False,40,1050,True
2.41FDN,2,False,False,41,3250,True
2.42FDN,2,False,False,42,500,True
2.43FDN,2,False,False,43,900,True
2.44FQN,2,False,True,44,1200,True
2.45FQN,2,False,True,45,300,True
2.46FDN,2,False,False,46,2400,True
2.47FDN,2,False,False,47,1100,True
2.48FDN,2,False,False,48,500,True
2.4EDN,2,False,False,4,1200,False
2.5EDY,2,True,False,5,1650,False
2.6EDN,2,False,False,6,1400,False
2.7EQN,2,False,True,7,2050,False
2.8EQN,2,False,True,8,550,False
2.9EQY,2,True,True,9,1700,False
20.10EDN,20,False,False,10,1000,False
20.11EQY,20,True,True,11,2000,False
20.12EQN,20,False,True,12,1300,False
20.13EQY,20,True,True,13,2250,False
20.14EDY,20,True,False,14,1700,False
20.15EQN,20,False,True,15,2400,False
20.16EDY,20,True,False,16,2000,False
20.17FQY,20,True,True,17,1250,True
20.18FQY,20,True,True,18,2400,True
20.19FQY,20,True,True,19,1700,True
20.1EQN,20,False,True,1,2750,False
20.20FQY,20,True,True,20,2850,True
20.21FQY,20,True,True,21,1200,True
20.22FQY,20,True,True,22,1200,True
20.23FQY,20,True,True,23,1700,True
20.24FQY,20,True,True,24,1950,True
20.25FDY,20,True,False,25,1800,True
20.26FQY,20,True,True,26,400,True
20.27FQY,20,True,True,27,2100,True
20.28FQY,20,True,True,28,2800,True
20.29FQY,20,True,True,29,1150,True
20.2EDN,20,False,False,2,1250,False
20.30FDY,20,True,False,30,2200,True
20.31FDY,20,True,False,31,1950,True
20.32FDY,20,True,False,32,6300,True
20.33FDN,20,False,False,33,1450,True
20.34FQN,20,False,True,34,1750,True
20.35FDN,20,False,False,35,1450,True
20.36FQN,20,False,True,36,1500,True
20.37FDN,20,False,False,37,2400,True
20.38FDN,20,False,False,38,2100,True
20.39FDN,20,False,False,39,4000,True
20.3EDN,20,False,False,3,1750,False
20.40FDN,20,False,False,40,2100,True
20.41FDN,20,False,False,41,1650,True
20.42FDN,20,False,False,42,1150,True
20.43FDN,20,False,False,43,1500,True
20.44FQN,20,False,True,44,2450,True
20.45FQN,20,False,True,45,2050,True
20.46FDN,20,False,False,46,1550,True
20.47FDN,20,False,False,47,1550,True
20.48FDN,20,False,False,48,2000,True
20.4EDY,20,True,False,4,2850,False
20.5EDN,20,False,False,5,5050,False
20.6EDY,20,True,False,6,1200,False
20.7EQY,20,True,True,7,1200,False
20.8EQY,20,True,True,8,1500,False
20.9EQN,20,False,True,9,1300,False
201.10EQN,201,False,True,10,3100,False
201.11EDY,201,True,False,11,1200,False
201.12EDN,201,False,False,12,650,False
201.13EDY,201,True,False,13,2900,False
201.14EQY,201,True,True,14,1100,False
201.15EDN,201,False,False,15,850,False
