isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading,irt,File_pair
True,False,False,210,37,4710.0,2,5582.04,210.37FDN
True,False,False,210,40,3780.0,1,2805.69,210.40FDN
True,True,True,210,27,3630.0,2,9642.17,210.27FQY
False,True,True,210,9,8100.0,2,2162.85,210.9EQY
False,False,True,210,2,4770.0,1,4145.56,210.2EDY
False,False,True,210,10,4020.0,1,5325.29,210.10EDY
False,False,False,210,6,3210.0,1,1848.4,210.6EDN
False,False,False,210,14,2970.0,1,5185.42,210.14EDN
True,True,True,210,19,6630.0,1,5363.12,210.19FQY
True,False,False,210,46,3810.0,1,6778.94,210.46FDN
True,True,True,210,21,4200.0,2,5122.31,210.21FQY
True,False,True,210,32,5820.0,2,2468.25,210.32FDY
True,True,False,210,36,3870.0,2,4541.77,210.36FQN
True,True,True,210,26,3210.0,2,4479.48,210.26FQY
True,False,False,210,41,5220.0,1,3769.6,210.41FDN
False,False,True,210,5,3630.0,1,3909.06,210.5EDY
False,True,False,210,13,3030.0,1,5105.15,210.13EQN
True,True,True,210,18,4290.0,1,2632.31,210.18FQY
False,True,False,210,7,5580.0,1,6409.21,210.7EQN
False,False,True,210,3,4200.0,1,5192.46,210.3EDY
True,True,True,210,20,4020.0,2,6468.79,210.20FQY
True,False,False,210,47,3450.0,1,1901.77,210.47FDN
True,False,False,210,38,5010.0,1,5672.85,210.38FDN
True,False,False,210,35,7710.0,2,1545.29,210.35FDN
True,False,False,210,42,3750.0,1,5021.77,210.42FDN
True,False,True,210,25,8250.0,2,1798.52,210.25FDY
True,False,True,210,31,3870.0,2,5085.29,210.31FDY
True,True,True,210,28,3420.0,1,3082.31,210.28FQY
True,False,False,210,33,3960.0,2,8582.04,210.33FDN
True,True,True,210,23,3480.0,2,6069.06,210.23FQY
True,True,False,210,44,3480.0,1,1075.02,210.44FQN
False,False,False,210,4,3510.0,1,7926.38,210.4EDN
False,True,True,210,12,3450.0,1,1982.04,210.12EQY
False,False,False,210,16,3090.0,1,2371.62,210.16EDN
False,True,True,210,15,3600.0,1,2332.31,210.15EQY
False,True,False,210,11,3720.0,1,7952.85,210.11EQN
True,False,True,210,30,3780.0,2,4448.67,210.30FDY
True,True,False,210,34,6660.0,2,2338.94,210.34FQN
True,True,True,210,24,6780.0,2,2388.79,210.24FQY
True,True,True,210,29,3300.0,1,1211.77,210.29FQY
True,False,False,210,39,3720.0,1,2548.52,210.39FDN
True,False,False,210,43,3150.0,1,3761.77,210.43FDN
True,True,True,210,22,5100.0,2,2832.17,210.22FQY
True,True,False,210,45,3690.0,1,1611.9,210.45FQN
True,False,False,210,48,6300.0,2,2402.04,210.48FDN
