UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
15-6-1,15,6,1,FALSE,TRUE,6EQN,15.6EQN_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-6-2,15,6,2,FALSE,TRUE,6EQN,15.6EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-7-1,15,7,1,FALSE,FALSE,7EDN,15.7EDN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
15-7-2,15,7,2,FALSE,FALSE,7EDN,15.7EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-8-1,15,8,1,FALSE,FALSE,8EDN,15.8EDN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
15-8-2,15,8,2,FALSE,FALSE,8EDN,15.8EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-9-1,15,9,1,TRUE,FALSE,9EDY,15.9EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
15-9-2,15,9,2,TRUE,FALSE,9EDY,15.9EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
16-1-1,16,1,1,FALSE,TRUE,1EQN,1EQN,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-1-2,16,1,2,FALSE,TRUE,1EQN,1EQN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-10-1,16,10,1,FALSE,FALSE,10EDN,10EDN,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
16-10-2,16,10,2,FALSE,FALSE,10EDN,10EDN,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO
16-11-1,16,11,1,TRUE,TRUE,11EQY,11EQY,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
16-11-2,16,11,2,TRUE,TRUE,11EQY,11EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-12-1,16,12,1,FALSE,TRUE,12EQN,12EQN,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-12-2,16,12,2,FALSE,TRUE,12EQN,12EQN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
16-13-1,16,13,1,TRUE,TRUE,13EQY,13EQY,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-13-2,16,13,2,TRUE,TRUE,13EQY,13EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-14-1,16,14,1,TRUE,FALSE,14EDY,14EDY,X,1X,YES,NO,YES,PP1,V,NO,,NO
16-14-2,16,14,2,TRUE,FALSE,14EDY,14EDY,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
16-15-1,16,15,1,FALSE,TRUE,15EQN,15EQN,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES
16-15-2,16,15,2,FALSE,TRUE,15EQN,15EQN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
16-16-1,16,16,1,TRUE,FALSE,16EDY,16EDY,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
16-16-2,16,16,2,TRUE,FALSE,16EDY,16EDY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
16-2-1,16,2,1,FALSE,FALSE,2EDN,2EDN,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
16-2-2,16,2,2,FALSE,FALSE,2EDN,2EDN,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
16-3-1,16,3,1,FALSE,FALSE,3EDN,3EDN,X,1X,YES,NO,YES,PP1,V,NO,,NO
16-3-2,16,3,2,FALSE,FALSE,3EDN,3EDN,Y,1X,NO,YES,YES,OBJ,PP1,YES,PP2,NO
16-4-1,16,4,1,TRUE,FALSE,4EDY,4EDY,X,1X,NO,YES,YES,OBJ,PP1,YES,PP2,NO
16-4-2,16,4,2,TRUE,FALSE,4EDY,4EDY,Y,1X,YES,YES,YES,PP1,V,NO,,NO
16-5-1,16,5,1,FALSE,FALSE,5EDN,5EDN,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
16-5-2,16,5,2,FALSE,FALSE,5EDN,5EDN,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO
16-6-1,16,6,1,TRUE,FALSE,6EDY,6EDY,X,1X,YES,NO,YES,PP1,V,NO,,NO
16-6-2,16,6,2,TRUE,FALSE,6EDY,6EDY,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
16-7-1,16,7,1,TRUE,TRUE,7EQY,7EQY,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
16-7-2,16,7,2,TRUE,TRUE,7EQY,7EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-8-1,16,8,1,TRUE,TRUE,8EQY,8EQY,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
16-8-2,16,8,2,TRUE,TRUE,8EQY,8EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
16-9-1,16,9,1,FALSE,TRUE,9EQN,9EQN,X,1X,NO,YES,NO,OBJ,NONE,NO,,YES
16-9-2,16,9,2,FALSE,TRUE,9EQN,9EQN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
17-1-1,17,1,1,FALSE,FALSE,1EDN,17.1EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO
17-1-2,17,1,2,FALSE,FALSE,1EDN,17.1EDN_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
17-10-1,17,10,1,FALSE,TRUE,10EQN,17.10EQN_X,X,16Y,NO,NO,YES,PP1,NONE,YES,PP2,NO
17-10-2,17,10,2,FALSE,TRUE,10EQN,17.10EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
17-11-1,17,11,1,TRUE,FALSE,11EDY,17.11EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
17-11-2,17,11,2,TRUE,FALSE,11EDY,17.11EDY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
17-12-1,17,12,1,FALSE,FALSE,12EDN,17.12EDN_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,YES
17-12-2,17,12,2,FALSE,FALSE,12EDN,17.12EDN_Y,Y,16Y,YES,NO,YES,PP1,V,NO,,NO
17-13-1,17,13,1,TRUE,FALSE,13EDY,17.13EDY_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO
17-13-2,17,13,2,TRUE,FALSE,13EDY,17.13EDY_Y,Y,16Y,YES,YES,YES,PP1,V,NO,,NO
17-14-1,17,14,1,TRUE,TRUE,14EQY,17.14EQY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
17-14-2,17,14,2,TRUE,TRUE,14EQY,17.14EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
17-15-1,17,15,1,FALSE,FALSE,15EDN,17.15EDN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO
17-15-2,17,15,2,FALSE,FALSE,15EDN,17.15EDN_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
17-16-1,17,16,1,TRUE,TRUE,16EQY,17.16EQY_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,YES
17-16-2,17,16,2,TRUE,TRUE,16EQY,17.16EQY_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
17-2-1,17,2,1,FALSE,TRUE,2EQN,17.2EQN_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
17-2-2,17,2,2,FALSE,TRUE,2EQN,17.2EQN_Y,Y,16Y,YES,YES,YES,PP1,V,NO,,YES
17-3-1,17,3,1,FALSE,TRUE,3EQN,17.3EQN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO
17-3-2,17,3,2,FALSE,TRUE,3EQN,17.3EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
17-4-1,17,4,1,TRUE,TRUE,4EQY,17.4EQY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
17-4-2,17,4,2,TRUE,TRUE,4EQY,17.4EQY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES
17-5-1,17,5,1,FALSE,TRUE,5EQN,17.5EQN_X,X,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
17-5-2,17,5,2,FALSE,TRUE,5EQN,17.5EQN_Y,Y,16Y,NO,YES,NO,OBJ,NONE,NO,,YES
17-6-1,17,6,1,TRUE,TRUE,6EQY,17.6EQY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
17-6-2,17,6,2,TRUE,TRUE,6EQY,17.6EQY_Y,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
17-7-1,17,7,1,TRUE,FALSE,7EDY,17.7EDY_X,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
17-7-2,17,7,2,TRUE,FALSE,7EDY,17.7EDY_Y,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO
17-8-1,17,8,1,TRUE,FALSE,8EDY,17.8EDY_X,X,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
17-8-2,17,8,2,TRUE,FALSE,8EDY,17.8EDY_Y,Y,16Y,YES,YES,YES,PP1,OBJ,NO,,NO
17-9-1,17,9,1,FALSE,FALSE,9EDN,17.9EDN_X,X,16Y,NO,YES,YES,OBJ,PP1,NO,,NO
17-9-2,17,9,2,FALSE,FALSE,9EDN,17.9EDN_Y,Y,16Y,NO,YES,YES,NONE,NONE,NO,,NO
19-1-1,19,1,1,TRUE,FALSE,1EDY,19.1EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
19-1-2,19,1,2,TRUE,FALSE,1EDY,19.1EDY_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
19-10-1,19,10,1,TRUE,TRUE,10EQY,19.10EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
19-10-2,19,10,2,TRUE,TRUE,10EQY,19.10EQY_Y,Y,1X,NO,YES,,,,,,YES
19-11-1,19,11,1,FALSE,FALSE,11EDN,19.11EDN_X,X,1X,NO,YES,YES,NONE,NONE,NO,,NO
19-11-2,19,11,2,FALSE,FALSE,11EDN,19.11EDN_Y,Y,1X,,,,,,,,
19-12-1,19,12,1,TRUE,FALSE,12EDY,19.12EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
19-12-2,19,12,2,TRUE,FALSE,12EDY,19.12EDY_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
19-13-1,19,13,1,FALSE,FALSE,13EDN,19.13EDN_X,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
19-13-2,19,13,2,FALSE,FALSE,13EDN,19.13EDN_Y,Y,1X,NO,YES,YES,OBJ,PP1,YES,PP1,NO
19-14-1,19,14,1,TRUE,FALSE,14EDY,19.14EDY_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
19-14-2,19,14,2,FALSE,TRUE,14EQN,19.14EQN_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
19-15-1,19,15,1,TRUE,FALSE,15EDY,19.15EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
19-15-2,19,15,2,TRUE,FALSE,15EDY,19.15EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
19-16-1,19,16,1,FALSE,TRUE,16EQN,19.16EQN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
19-16-2,19,16,2,FALSE,TRUE,16EQN,19.16EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,YES
19-2-1,19,2,1,TRUE,TRUE,2EQY,19.2EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
19-2-2,19,2,2,TRUE,TRUE,2EQY,19.2EQY_Y,Y,1X,NO,YES,,,,,,YES
19-3-1,19,3,1,TRUE,TRUE,3EQY,19.3EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
19-3-2,19,3,2,TRUE,TRUE,3EQY,19.3EQY_Y,Y,1X,NO,,,,,,,
19-4-1,19,4,1,FALSE,TRUE,4EQN,19.4EQN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
19-4-2,19,4,2,FALSE,TRUE,4EQN,19.4EQN_Y,Y,1X,NO,YES,,,,,,YES
19-5-1,19,5,1,TRUE,TRUE,5EQY,19.5EQY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
19-5-2,19,5,2,TRUE,TRUE,5EQY,19.5EQY_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
19-6-1,19,6,1,FALSE,TRUE,6EQN,19.6EQN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
19-6-2,19,6,2,FALSE,TRUE,6EQN,19.6EQN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
19-7-1,19,7,1,FALSE,FALSE,7EDN,19.7EDN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
19-7-2,19,7,2,FALSE,FALSE,7EDN,19.7EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
19-8-1,19,8,1,FALSE,FALSE,8EDN,19.8EDN_X,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
19-8-2,19,8,2,FALSE,FALSE,8EDN,19.8EDN_Y,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
19-9-1,19,9,1,TRUE,FALSE,9EDY,19.9EDY_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
19-9-2,19,9,2,TRUE,FALSE,9EDY,19.9EDY_Y,Y,1X,NO,YES,,,,,,NO
2-1-1,2,1,1,TRUE,TRUE,1EQY,2.1EQY_X,X,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
2-1-2,2,1,2,TRUE,TRUE,1EQY,2.1EQY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
2-10-1,2,10,1,TRUE,FALSE,10EDY,2.10EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-10-2,2,10,2,TRUE,FALSE,10EDY,2.10EDY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-11-1,2,11,1,FALSE,TRUE,11EQN,2.11EQN_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
2-11-2,2,11,2,FALSE,TRUE,11EQN,2.11EQN_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,YES
2-12-1,2,12,1,TRUE,TRUE,12EQY,2.12EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES
2-12-2,2,12,2,TRUE,TRUE,12EQY,2.12EQY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
2-13-1,2,13,1,FALSE,TRUE,13EQN,2.13EQN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,YES
2-13-2,2,13,2,FALSE,TRUE,13EQN,2.13EQN_X,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,YES
2-14-1,2,14,1,FALSE,FALSE,14EDN,2.14EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
2-14-2,2,14,2,FALSE,FALSE,14EDN,2.14EDN_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
2-15-1,2,15,1,TRUE,TRUE,15EQY,2.15EQY_X,X,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
2-15-2,2,15,2,TRUE,TRUE,15EQY,2.15EQY_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
2-16-1,2,16,1,FALSE,FALSE,16EDN,2.16EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
2-16-2,2,16,2,FALSE,FALSE,16END,2.16END_Y,Y,1Y,YES,NO,YES,PP1,V,NO,,NO
2-2-1,2,2,1,TRUE,FALSE,2EDY,2.2EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-2-2,2,2,2,TRUE,FALSE,2EDY,2.2EDY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-3-1,2,3,1,TRUE,FALSE,3EDY,2.3EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-3-2,2,3,2,TRUE,FALSE,3EDY,2.3EDY_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
2-4-1,2,4,1,FALSE,FALSE,4EDN,2.4EDN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
2-4-2,2,4,2,FALSE,FALSE,4EDN,2.4EDN_Y,Y,1Y,YES,YES,NO,OBJ,V,NO,,NO
2-5-1,2,5,1,TRUE,FALSE,5EDY,2.5EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-5-2,2,5,2,TRUE,FALSE,5EDY,2.5EDY_Y,Y,1Y,NO,YES,NO,OBJ,NONE,NO,,NO
2-6-1,2,6,1,FALSE,FALSE,6EDN,2.6EDN_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
2-6-2,2,6,2,FALSE,FALSE,6EDN,2.6EDN_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
2-7-1,2,7,1,FALSE,TRUE,7EQN,2.7EQN_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
2-7-2,2,7,2,FALSE,TRUE,7EQN,2.7EQN_Y,Y,1Y,YES,NO,NO,V,NONE,NO,,YES
2-8-1,2,8,1,FALSE,TRUE,8EQN,2.8EQN_X,X,1Y,NO,YES,NO,OBJ,NONE,NO,,YES
2-8-2,2,8,2,FALSE,TRUE,8EQN,2.8EQN_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
2-9-1,2,9,1,TRUE,TRUE,9EQY,2.9EQY_X,X,1Y,NO,YES,YES,PP1,OBJ,YES,PP2,YES
2-9-2,2,9,2,TRUE,TRUE,9EQY,2.9EQY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
20-1-1,20,1,1,FALSE,TRUE,1EQN,1EQN,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
20-1-2,20,1,2,FALSE,TRUE,1EQN,1EQN,Y,16X,YES,YES,YES,PP1,OBJ,NO,,YES
20-10-1,20,10,1,FALSE,FALSE,10EDN,10EDN,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO
20-10-2,20,10,2,FALSE,FALSE,10EDN,10EDN,Y,16X,YES,YES,NO,OBJ,V,NO,,NO
20-11-1,20,11,1,TRUE,TRUE,11EQY,11EQY,X,16X,NO,YES,YES,NONE,NONE,NO,,YES
20-11-2,20,11,2,TRUE,TRUE,11EQY,11EQY,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
20-12-1,20,12,1,FALSE,TRUE,12EQN,12EQN,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
20-12-2,20,12,2,FALSE,TRUE,12EQN,12EQN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,YES
20-13-1,20,13,1,TRUE,TRUE,13EQY,13EQY,X,16X,NO,YES,YES,PP1,OBJ,NO,,YES
20-13-2,20,13,2,TRUE,TRUE,13EQY,13EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
20-14-1,20,14,1,TRUE,FALSE,14EDY,14EDY,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
20-14-2,20,14,2,TRUE,FALSE,14EDY,14EDY,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
20-15-1,20,15,1,FALSE,TRUE,15EQN,15EQN,X,16X,NO,YES,YES,OBJ,PP1,NO,,YES
20-15-2,20,15,2,FALSE,TRUE,15EQN,15EQN,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES
20-16-1,20,16,1,TRUE,FALSE,16EDY,16EDY,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
20-16-2,20,16,2,TRUE,FALSE,16EDY,16EDY,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
20-2-1,20,2,1,FALSE,FALSE,2EDN,2EDN,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-2-2,20,2,2,FALSE,FALSE,2EDN,2EDN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
20-3-1,20,3,1,FALSE,FALSE,3EDN,3EDN,X,16X,NO,YES,YES,OBJ,PP1,NO,,NO
20-3-2,20,3,2,FALSE,FALSE,3EDN,3EDN,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-4-1,20,4,1,TRUE,FALSE,4EDY,4EDY,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-4-2,20,4,2,TRUE,FALSE,4EDY,4EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-5-1,20,5,1,FALSE,FALSE,5EDN,5EDN,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO
20-5-2,20,5,2,FALSE,FALSE,5EDN,5EDN,Y,16X,NO,YES,NO,OBJ,NONE,NO,,NO
20-6-1,20,6,1,TRUE,FALSE,6EDY,6EDY,X,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-6-2,20,6,2,TRUE,FALSE,6EDY,6EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-7-1,20,7,1,TRUE,TRUE,7EQY,7EQY,X,16X,NO,NO,YES,PP1,NONE,NO,,YES
20-7-2,20,7,2,TRUE,TRUE,7EQY,7EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
20-8-1,20,8,1,TRUE,TRUE,8EQY,8EQY,X,16X,NO,YES,YES,PP1,OBJ,NO,,YES
20-8-2,20,8,2,TRUE,TRUE,8EQY,8EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
20-9-1,20,9,1,FALSE,TRUE,9EQN,9EQN,X,16X,NO,YES,NO,OBJ,NONE,NO,,YES
20-9-2,20,9,2,FALSE,TRUE,9EQN,9EQN,Y,16X,NO,YES,NO,OBJ,NONE,NO,,YES
201-1-1,201,1,1,FALSE,FALSE,1EDN,1EDN,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
201-1-2,201,1,2,FALSE,FALSE,1EDN,1EDN,X,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
201-10-1,201,10,1,FALSE,TRUE,10EQN,10EQN,Y,1Y,NO,YES,YES,NONE,NONE,NO,,YES
201-10-2,201,10,2,FALSE,TRUE,10EQN,10EQN,X,1Y,NO,YES,NO,OBJ,NONE,NO,,YES
201-11-1,201,11,1,TRUE,FALSE,11EDY,11EDY,Y,1Y,NO,YES,YES,NONE,NONE,NO,,NO
201-11-2,201,11,2,TRUE,FALSE,11EDY,11EDY,X,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
201-12-1,201,12,1,FALSE,FALSE,12EDN,12EDN,Y,1Y,YES,NO,YES,PP1,V,NO,,NO
201-12-2,201,12,2,FALSE,FALSE,12EDN,12EDN,X,1Y,YES,NO,YES,PP1,V,NO,,NO
201-13-1,201,13,1,TRUE,FALSE,13EDY,13EDY,Y,1Y,YES,NO,YES,PP1,V,YES,OBJ,NO
201-13-2,201,13,2,TRUE,FALSE,13EDY,13EDY,X,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
201-14-1,201,14,1,TRUE,TRUE,14EQY,14EQY,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
201-14-2,201,14,2,TRUE,TRUE,14EQY,14EQY,X,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
201-15-1,201,15,1,FALSE,FALSE,15EDN,15EDN,Y,1Y,YES,YES,YES,PP1,V,NO,,NO
201-15-2,201,15,2,FALSE,FALSE,15EDN,15EDN,X,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
201-16-1,201,16,1,TRUE,TRUE,16EQY,16EQY,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
201-16-2,201,16,2,TRUE,TRUE,16EQY,16EQY,X,1Y,YES,YES,YES,PP1,V,NO,,YES
201-2-1,201,2,1,FALSE,TRUE,2EQN,2EQN,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
201-2-2,201,2,2,FALSE,TRUE,2EQN,2EQN,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES
201-3-1,201,3,1,FALSE,TRUE,3EQN,3EQN,Y,1Y,NO,NO,YES,PP1,OBJ,YES,PP2,NO
201-3-2,201,3,2,FALSE,TRUE,3EQN,3EQN,X,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
201-4-1,201,4,1,TRUE,TRUE,4EQY,4EQY,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
201-4-2,201,4,2,TRUE,TRUE,4EQY,4EQY,X,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
201-5-1,201,5,1,FALSE,TRUE,5EQN,5EQN,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
201-5-2,201,5,2,FALSE,TRUE,5EQN,5EQN,X,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
201-6-1,201,6,1,TRUE,TRUE,6EQY,6EQY,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
201-6-2,201,6,2,TRUE,TRUE,6EQY,6EQY,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES
201-7-1,201,7,1,TRUE,FALSE,7EDY,7EDY,Y,1Y,NO,NO,YES,PP1,NONE,NO,,NO
201-7-2,201,7,2,TRUE,FALSE,7EDY,7EDY,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
201-8-1,201,8,1,TRUE,FALSE,8EDY,8EDY,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
201-8-2,201,8,2,TRUE,FALSE,8EDY,8EDY,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
201-9-1,201,9,1,FALSE,FALSE,9EDN,9EDN,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
201-9-2,201,9,2,FALSE,FALSE,9EDN,9EDN,X,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
202-1-1,202,1,1,TRUE,TRUE,1EQY,1EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
202-1-2,202,1,2,TRUE,TRUE,1EQY,1EQY,X,16X,YES,YES,YES,V,PP1,NO,,YES
202-10-1,202,10,1,TRUE,FALSE,10EDY,10EDY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
202-10-2,202,10,2,TRUE,FALSE,10EDY,10EDY,X,16X,YES,YES,YES,OBJ,V,NO,,NO
202-12-1,202,12,1,TRUE,TRUE,12EQY,12EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,NO
202-12-2,202,12,2,TRUE,TRUE,12EQY,12EQY,X,16X,NO,YES,YES,OBJ,PP1,NO,,YES
202-13-1,202,13,1,FALSE,TRUE,13EQN,13EQN,Y,16X,NO,NO,YES,PP1,NONE,NO,,YES
202-13-2,202,13,2,FALSE,TRUE,13EQN,13EQN,X,16X,NO,YES,YES,PP1,OBJ,NO,,YES
202-14-1,202,14,1,FALSE,FALSE,14EDN,14EDN,Y,16X,NO,YES,YES,OBJ,PP1,NO,,NO
202-14-2,202,14,2,FALSE,FALSE,14EDN,14EDN,X,16X,NO,YES,NO,OBJ,NONE,NO,,NO
202-15-1,202,15,1,TRUE,TRUE,15EQY,15EQY,Y,16X,NO,YES,YES,PP1,OBJ,NO,,YES
202-15-2,202,15,2,TRUE,TRUE,15EQY,15EQY,X,16X,NO,YES,YES,PP1,OBJ,NO,,YES
202-16-1,202,16,1,FALSE,FALSE,16EDN,16EDN,Y,16X,NO,NO,YES,PP1,NONE,NO,,NO
202-16-2,202,16,2,FALSE,FALSE,16EDN,16EDN,X,16X,NO,NO,YES,PP1,NONE,NO,,NO
202-2-1,202,2,1,TRUE,FALSE,2EDY,2EDY,Y,16X,NO,NO,YES,PP1,NONE,NO,,NO
202-2-2,202,2,2,TRUE,FALSE,2EDY,2EDY,X,16X,NO,YES,YES,OBJ,PP1,NO,,NO
