UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
10-16-2,10,16,2,FALSE,FALSE,16EDN,16EDN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-2-1,10,2,1,TRUE,FALSE,2EDY,2EDY,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-2-2,10,2,2,TRUE,FALSE,2EDY,2EDY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-3-1,10,3,1,TRUE,FALSE,3EDY,3EDY,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-3-2,10,3,2,TRUE,FALSE,3EDY,3EDY,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-4-1,10,4,1,FALSE,FALSE,4EDN,4EDN,X,1X,NO,YES,NO,OBJ,NONE,NO,,NO
10-4-2,10,4,2,FALSE,FALSE,4EDN,4EDN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-5-1,10,5,1,TRUE,FALSE,5EDY,5EDY,X,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-5-2,10,5,2,TRUE,FALSE,5EDY,5EDY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,NO
10-6-1,10,6,1,FALSE,FALSE,6EDN,6EDN,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
10-6-2,10,6,2,FALSE,FALSE,6EDN,6EDN,Y,1X,NO,YES,YES,OBJ,PP1,NO,,NO
10-7-1,10,7,1,FALSE,TRUE,7EQN,7EQN,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
10-7-2,10,7,2,FALSE,TRUE,7EQN,7EQN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-8-1,10,8,1,FALSE,TRUE,8EQN,8EQN,X,1X,NO,YES,YES,OBJ,PP1,NO,,YES
10-8-2,10,8,2,FALSE,TRUE,8EQN,8EQN,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-9-1,10,9,1,TRUE,TRUE,9EQY,9EQY,X,1X,NO,YES,YES,PP1,OBJ,NO,,YES
10-9-2,10,9,2,TRUE,TRUE,9EQY,9EQY,Y,1X,NO,YES,YES,PP1,OBJ,NO,,YES
11-1-1,11,1,1,TRUE,FALSE,1EDY,11.1EDY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
11-1-2,11,1,2,TRUE,FALSE,1EDY,11.1EDY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
11-10-1,11,10,1,TRUE,TRUE,10EQY,11.10EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,NO
11-10-2,11,10,2,TRUE,TRUE,10EQY,11.10EQY_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,NO
11-11-1,11,11,1,FALSE,FALSE,11EDN,11.11EDN_X,X,1Y,NO,YES,YES,PP1,OBJ,NO,,NO
11-11-2,11,11,2,FALSE,FALSE,11EDN,11.11EDN_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
11-15-1,11,15,1,TRUE,FALSE,15EDY,11.15EDY_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
11-15-2,11,15,2,TRUE,FALSE,15EDY,11.15EDY_Y,Y,1Y,NO,YES,YES,OBJ,PP1,NO,,NO
11-16-1,11,16,1,FALSE,TRUE,16EQN,11.16EQN_X,X,1Y,YES,NO,YES,V,PP1,NO,,YES
11-16-2,11,16,2,FALSE,TRUE,16EQN,11.16EQN_Y,Y,1Y,NO,NO,YES,PP1,NONE,NO,,YES
11-3-1,11,3,1,TRUE,TRUE,3EQY,11.3EQY_X,X,1Y,NO,NO,YES,PP1,NONE,NO,,YES
11-3-2,11,3,2,TRUE,TRUE,3EQY,11.3EQY_Y,Y,1Y,NO,YES,YES,PP1,OBJ,NO,,YES
11-4-1,11,4,1,FALSE,TRUE,4EQN,11.4EQN_X,X,1Y,NO,YES,YES,OBJ,PP1,NO,,YES
