Filename,isFiller,Condition_Q,Condition_GP,Participant,Item,irt,File_pair
210.37FDN_r2.wav,True,False,False,210,37,5611,210.37FDN
210.40FDN_r1.wav,True,False,False,210,40,6195,210.40FDN
210.27FQY_r2.wav,True,True,True,210,27,9612,210.27FQY
210.9EQY_r2.wav,False,True,True,210,9,8673,210.9EQY
210.2EDY_r1.wav,False,False,True,210,2,2316,210.2EDY
210.10EDY_r1.wav,False,False,True,210,10,5354,210.10EDY
210.6EDN_r1.wav,False,False,False,210,6,3377,210.6EDN
210.14EDN_r1.wav,False,False,False,210,14,6655,210.14EDN
210.19FQY_r1.wav,True,True,True,210,19,8153,210.19FQY
210.46FDN_r1.wav,True,False,False,210,46,6839,210.46FDN
210.21FQY_r2.wav,True,True,True,210,21,5181,210.21FQY
210.32FDY_r2.wav,True,False,True,210,32,4687,210.32FDY
210.36FQN_r2.wav,True,True,False,210,36,4601,210.36FQN
210.26FQY_r2.wav,True,True,True,210,26,5197,210.26FQY
210.41FDN_r1.wav,True,False,False,210,41,4580,210.41FDN
210.5EDY_r1.wav,False,False,True,210,5,6909,210.5EDY
210.13EQN_r1.wav,False,True,False,210,13,5104,210.13EQN
210.18FQY_r1.wav,True,True,True,210,18,5451,210.18FQY
210.7EQN_r1.wav,False,True,False,210,7,4038,210.7EQN
210.3EDY_r1.wav,False,False,True,210,3,5220,210.3EDY
210.20FQY_r2.wav,True,True,True,210,20,6439,210.20FQY
210.47FDN_r1.wav,True,False,False,210,47,3161,210.47FDN
210.38FDN_r1.wav,True,False,False,210,38,5881,210.38FDN
210.35FDN_r2.wav,True,False,False,210,35,4634,210.35FDN
210.42FDN_r1.wav,True,False,False,210,42,5111,210.42FDN
210.25FDY_r2.wav,True,False,True,210,25,1769,210.25FDY
210.31FDY_r2.wav,True,False,True,210,31,4994,210.31FDY
210.28FQY_r1.wav,True,True,True,210,28,5001,210.28FQY
210.33FDN_r2.wav,True,False,False,210,33,8612,210.33FDN
210.23FQY_r2.wav,True,True,True,210,23,5078,210.23FQY
210.44FQN_r1.wav,True,True,False,210,44,3354,210.44FQN
210.4EDN_r1.wav,False,False,False,210,4,7985,210.4EDN
210.12EQY_r1.wav,False,True,True,210,12,4351,210.12EQY
210.16EDN_r1.wav,False,False,False,210,16,6392,210.16EDN
210.15EQY_r1.wav,False,True,True,210,15,5871,210.15EQY
210.11EQN_r1.wav,False,True,False,210,11,8013,210.11EQN
210.30FDY_r2.wav,True,False,True,210,30,4508,210.30FDY
210.34FQN_r2.wav,True,True,False,210,34,5008,210.34FQN
210.24FQY_r2.wav,True,True,True,210,24,5478,210.24FQY
210.29FQY_r1.wav,True,True,True,210,29,4661,210.29FQY
210.39FDN_r1.wav,True,False,False,210,39,2848,210.39FDN
210.43FDN_r1.wav,True,False,False,210,43,3851,210.43FDN
210.22FQY_r2.wav,True,True,True,210,22,4781,210.22FQY
210.45FQN_r1.wav,True,True,False,210,45,4161,210.45FQN
210.48FDN_r2.wav,True,False,False,210,48,4951,210.48FDN
210.1EQY_r1.wav,False,True,True,210,1,1075,210.1EQY
210.17FQY_r2.wav,True,True,True,210,17,6991,210.17FQY
210.8EQN_r2.wav,False,True,False,210,8,5932,210.8EQN
204.19FQY_r1.wav,True,True,True,204,19,5851,204.19FQY
204.46FDN_r1.wav,True,False,False,204,46,5764,204.46FDN
