Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item
1.28FDY_r2.wav,1560,385,6236,True,False,True,1,28
1.38FQN_r2.wav,1830,1088,12698,True,True,False,1,38
1.35FQN_r1.wav,840,1296,5556,True,True,False,1,35
1.42FQN_r2.wav,2040,2609,8730,True,True,False,1,42
1.25FQY_r1.wav,900,338,6009,True,True,True,1,25
1.10EQN_r2.wav,1710,1643,8844,False,True,False,1,10
1.14EQY_r2.wav,2849,1122,8503,False,True,True,1,14
1.31FQY_r2.wav,1230,1062,6463,True,True,True,1,31
1.28FDY_r1.wav,1050,355,5215,True,False,True,1,28
1.38FQN_r1.wav,990,415,5215,True,True,False,1,38
1.35FQN_r2.wav,1950,3200,8390,True,True,False,1,35
1.42FQN_r1.wav,1200,481,6122,True,True,False,1,42
1.25FQY_r2.wav,1320,718,6689,True,True,True,1,25
1.10EQN_r1.wav,1170,369,4989,False,True,False,1,10
1.14EQY_r1.wav,930,145,5215,False,True,True,1,14
10.25FDY_r2.wav,0,1275,12585,True,False,True,10,25
10.42FDN_r1.wav,1230,1589,7710,True,False,False,10,42
10.35FDN_r2.wav,5370,1293,10204,True,False,False,10,35
10.1EQY_r1.wav,960,1508,7029,False,True,True,10,1
10.38FDN_r1.wav,870,2876,7256,True,False,False,10,38
10.28FQY_r1.wav,900,829,5329,True,True,True,10,28
10.31FDY_r2.wav,7140,1205,12245,True,False,True,10,31
10.8EQN_r2.wav,5370,1890,10771,False,True,False,10,8
10.25FDY_r1.wav,1470,1085,6576,True,False,True,10,25
10.42FDN_r2.wav,5790,1404,10884,True,False,False,10,42
10.35FDN_r1.wav,870,2663,6803,True,False,False,10,35
10.1EQY_r2.wav,7440,1362,13152,False,True,True,10,1
10.38FDN_r2.wav,6540,1341,11451,True,False,False,10,38
10.28FQY_r2.wav,8520,949,13039,True,True,True,10,28
10.31FDY_r1.wav,1050,1036,5896,True,False,True,10,31
10.8EQN_r1.wav,1080,1539,6009,False,True,False,10,8
