Filename;Leading;Trailing;Length;isFiller;Condition_Q;Condition_GP;Participant;Item;SP_Leading;SP_Trailing
210.45FQN_r2.wav; 3839;NA;10204;TRUE;TRUE;FALSE;210;45; 3839;NA
210.48FDN_r1.wav;  960;  392; 5102;TRUE;FALSE;FALSE;210;48;  960;  392
210.1EQY_r2.wav;  660;  506; 8276;FALSE;TRUE;TRUE;210;1;  660;  506
210.17FQY_r1.wav; 1140; 1563; 8163;TRUE;TRUE;TRUE;210;17; 1140; 1563
210.8EQN_r1.wav;  510;NA; 3741;FALSE;TRUE;FALSE;210;8;  510;    0
204.19FQY_r1.wav;  660;  932; 5102;TRUE;TRUE;TRUE;204;19;  660;  932
204.46FDN_r1.wav;  930;  486; 7596;TRUE;FALSE;FALSE;204;46;  930;  486
204.21FQY_r2.wav;  990;NA; 9183;TRUE;TRUE;TRUE;204;21;  990;NA
204.9EQN_r2.wav; 6060;NA;10997;FALSE;TRUE;FALSE;204;9; 6060;NA
204.19FQY_r2.wav; 1680;NA; 9637;TRUE;TRUE;TRUE;204;19; 1680;NA
204.46FDN_r2.wav; 1380;NA; 9637;TRUE;FALSE;FALSE;204;46; 1380;NA
204.21FQY_r1.wav;  630;  702; 5442;TRUE;TRUE;TRUE;204;21;  630;  702
204.9EQN_r1.wav;  750;  362; 5102;FALSE;TRUE;FALSE;204;9;  750;  362
204.37FDN_r2.wav; 4409;  310;10090;TRUE;FALSE;FALSE;204;37; 4409;  310
204.2EDN_r1.wav;  660;  205; 5215;FALSE;FALSE;FALSE;204;2;  660;  205
204.40FDN_r1.wav;  720;  808; 5668;TRUE;FALSE;FALSE;204;40;  720;  808
204.6EDY_r1.wav;  630;  528; 5328;FALSE;FALSE;TRUE;204;6;  630;  528
204.27FQY_r2.wav; 1590;NA;10657;TRUE;TRUE;TRUE;204;27; 1590;NA
204.12EQN_r1.wav;  750;  675; 5895;FALSE;TRUE;FALSE;204;12;  750;  675
204.16EDY_r1.wav;  570;NA; 4761;FALSE;FALSE;TRUE;204;16;  570;    0
204.37FDN_r1.wav;  630; 1192; 5782;TRUE;FALSE;FALSE;204;37;  630; 1192
204.2EDN_r2.wav; 1680;  507; 9297;FALSE;FALSE;FALSE;204;2; 1680;  507
204.40FDN_r2.wav; 5340;NA; 9977;TRUE;FALSE;FALSE;204;40; 5340;NA
204.6EDY_r2.wav;NA;NA;11111;FALSE;FALSE;TRUE;204;6;    0;NA
204.27FQY_r1.wav;  750;NA; 5102;TRUE;TRUE;TRUE;204;27;  750;    0
204.12EQN_r2.wav; 6600;NA;11337;FALSE;TRUE;FALSE;204;12; 6600;NA
204.16EDY_r2.wav; 4349;  273; 9183;FALSE;FALSE;TRUE;204;16; 4349;  273
204.11EQY_r1.wav;  720;NA; 1587;FALSE;TRUE;TRUE;204;11;  720;    0
204.18FQY_r1.wav;  870; 1309; 6349;TRUE;TRUE;TRUE;204;18;  870; 1309
204.15EQN_r1.wav;  810;  812; 5102;FALSE;TRUE;FALSE;204;15;  810;  812
204.20FQY_r2.wav; 6570;  748;12358;TRUE;TRUE;TRUE;204;20; 6570;  748
