simple2lvl,Participant,r1DelCat,increase
BOTH,206,NORMAL,FALSE
OBJ,206,NORMAL,FALSE
PP1,206,NORMAL,FALSE
BOTH,207,NORMAL,FALSE
OBJ,207,NORMAL,FALSE
PP1,207,NORMAL,FALSE
BOTH,208,NORMAL,FALSE
OBJ,208,NORMAL,FALSE
PP1,208,NORMAL,FALSE
BOTH,209,NORMAL,FALSE
OBJ,209,NORMAL,FALSE
PP1,209,NORMAL,TRUE
BOTH,210,NORMAL,FALSE
OBJ,210,NORMAL,FALSE
PP1,210,NORMAL,FALSE
BOTH,212,NORMAL,FALSE
OBJ,212,NORMAL,TRUE
PP1,212,NORMAL,FALSE
BOTH,214,NORMAL,FALSE
OBJ,214,NORMAL,FALSE
PP1,214,NORMAL,FALSE
BOTH,215,NORMAL,FALSE
OBJ,215,NORMAL,FALSE
PP1,215,NORMAL,FALSE
BOTH,1,SLOW,FALSE
OBJ,1,SLOW,TRUE
PP1,1,SLOW,TRUE
BOTH,2,SLOW,FALSE
OBJ,2,SLOW,FALSE
PP1,2,SLOW,FALSE
BOTH,3,SLOW,FALSE
OBJ,3,SLOW,FALSE
PP1,3,SLOW,TRUE
BOTH,4,SLOW,TRUE
OBJ,4,SLOW,FALSE
PP1,4,SLOW,FALSE
BOTH,5,SLOW,FALSE
OBJ,5,SLOW,FALSE
PP1,5,SLOW,FALSE
BOTH,6,SLOW,TRUE
OBJ,6,SLOW,FALSE
PP1,6,SLOW,FALSE
BOTH,7,SLOW,FALSE
OBJ,7,SLOW,FALSE
PP1,7,SLOW,FALSE
BOTH,9,SLOW,FALSE
OBJ,9,SLOW,FALSE
PP1,9,SLOW,FALSE
BOTH,10,SLOW,FALSE
OBJ,10,SLOW,TRUE
PP1,10,SLOW,TRUE
BOTH,11,SLOW,FALSE
OBJ,11,SLOW,FALSE
PP1,11,SLOW,FALSE
BOTH,12,SLOW,FALSE
OBJ,12,SLOW,FALSE
PP1,12,SLOW,FALSE
BOTH,13,SLOW,FALSE
OBJ,13,SLOW,FALSE
PP1,13,SLOW,FALSE
BOTH,14,SLOW,FALSE
OBJ,14,SLOW,FALSE
PP1,14,SLOW,TRUE
BOTH,15,SLOW,FALSE
OBJ,15,SLOW,FALSE
PP1,15,SLOW,FALSE
BOTH,16,SLOW,FALSE
OBJ,16,SLOW,FALSE
PP1,16,SLOW,FALSE
BOTH,17,SLOW,FALSE
OBJ,17,SLOW,FALSE
PP1,17,SLOW,TRUE
BOTH,19,SLOW,FALSE
OBJ,19,SLOW,FALSE
PP1,19,SLOW,FALSE
BOTH,20,SLOW,FALSE
OBJ,20,SLOW,FALSE
PP1,20,SLOW,FALSE
BOTH,21,SLOW,FALSE
OBJ,21,SLOW,TRUE
PP1,21,SLOW,TRUE
BOTH,22,SLOW,FALSE
OBJ,22,SLOW,FALSE
PP1,22,SLOW,FALSE
BOTH,201,SLOW,FALSE
OBJ,201,SLOW,FALSE
PP1,201,SLOW,FALSE
BOTH,203,SLOW,FALSE
OBJ,203,SLOW,FALSE
PP1,203,SLOW,FALSE
BOTH,204,SLOW,FALSE
OBJ,204,SLOW,FALSE
PP1,204,SLOW,FALSE
BOTH,205,SLOW,FALSE
OBJ,205,SLOW,FALSE
PP1,205,SLOW,FALSE
BOTH,206,SLOW,TRUE
OBJ,206,SLOW,FALSE
PP1,206,SLOW,FALSE
BOTH,207,SLOW,FALSE
OBJ,207,SLOW,FALSE
PP1,207,SLOW,FALSE
BOTH,208,SLOW,FALSE
OBJ,208,SLOW,TRUE
PP1,208,SLOW,TRUE
BOTH,209,SLOW,FALSE
OBJ,209,SLOW,FALSE
PP1,209,SLOW,FALSE
BOTH,210,SLOW,FALSE
OBJ,210,SLOW,FALSE
PP1,210,SLOW,FALSE
BOTH,212,SLOW,FALSE
OBJ,212,SLOW,FALSE
PP1,212,SLOW,FALSE
BOTH,214,SLOW,FALSE
OBJ,214,SLOW,FALSE
PP1,214,SLOW,FALSE
BOTH,215,SLOW,TRUE
OBJ,215,SLOW,FALSE
PP1,215,SLOW,FALSE
