Filename;Length;isFiller;Participant;Item;irt;GP_condition;Q_condition;condition;winsrdIRT;inter_reading
12.7EQY; 5555;FALSE; 12; 7; 1565;TRUE;TRUE;+Q +GP; 1565; 1565
2.15EQY;10090;FALSE;  2;15; 5460;TRUE;TRUE;+Q +GP; 5460; 5460
2.14EDN; 7936;FALSE;  2;14;  674;FALSE;FALSE;-Q -GP;  674;  674
2.10EDY; 8843;FALSE;  2;10; 5734;TRUE;FALSE;-Q +GP; 5734; 5734
2.2EDY; 4421;FALSE;  2; 2; 7061;TRUE;FALSE;-Q +GP; 6987; 7061
2.6EDN; 4648;FALSE;  2; 6; 8428;FALSE;FALSE;-Q -GP; 6987; 8428
2.9EQY;10317;FALSE;  2; 9; 9105;TRUE;TRUE;+Q +GP; 6987; 9105
2.7EQN; 4308;FALSE;  2; 7; 4079;FALSE;TRUE;+Q -GP; 4079; 4079
2.3EDY; 4988;FALSE;  2; 3; 7928;TRUE;FALSE;-Q +GP; 6987; 7928
2.5EDY; 3968;FALSE;  2; 5; 7110;TRUE;FALSE;-Q +GP; 6987; 7110
2.13EQN; 7596;FALSE;  2;13; 5413;FALSE;TRUE;+Q -GP; 5413; 5413
13.11EDY; 7256;FALSE; 13;11; 2366;TRUE;FALSE;-Q +GP;    0; 2366
14.7EQN; 6462;FALSE; 14; 7; 6150;FALSE;TRUE;+Q -GP; 6150; 6150
14.6EDN; 4761;FALSE; 14; 6; 8250;FALSE;FALSE;-Q -GP; 8250; 8250
14.10EDY; 6689;FALSE; 14;10;10948;TRUE;FALSE;-Q +GP;10948;10948
14.9EQY;19954;FALSE; 14; 9;15831;TRUE;TRUE;+Q +GP;11045;15831
14.11EQN; 6235;FALSE; 14;11; 8545;FALSE;TRUE;+Q -GP; 8545; 8545
14.15EQY; 6009;FALSE; 14;15;12458;TRUE;TRUE;+Q +GP;11045;12458
14.8EQN; 9750;FALSE; 14; 8; 8745;FALSE;TRUE;+Q -GP; 8745; 8745
14.1EQY; 6349;FALSE; 14; 1;12738;TRUE;TRUE;+Q +GP;11045;12738
14.4EDN; 4988;FALSE; 14; 4; 8078;FALSE;FALSE;-Q -GP; 8078; 8078
14.16EDN; 5782;FALSE; 14;16; 7162;FALSE;FALSE;-Q -GP; 7162; 7162
14.12EQY; 4988;FALSE; 14;12;11737;TRUE;TRUE;+Q +GP;11045;11737
22.1EQY; 5668;FALSE; 22; 1; 3118;TRUE;TRUE;+Q +GP; 3118; 3118
22.10EDY; 9523;FALSE; 22;10; 6600;TRUE;FALSE;-Q +GP; 3623; 6600
22.11EQN; 7483;FALSE; 22;11; 1931;FALSE;TRUE;+Q -GP; 1931; 1931
22.5EDY; 4875;FALSE; 22; 5; 2339;TRUE;FALSE;-Q +GP; 2339; 2339
22.2EDY; 4308;FALSE; 22; 2;  648;TRUE;FALSE;-Q +GP;  648;  648
22.12EQY;11904;FALSE; 22;12; 1258;TRUE;TRUE;+Q +GP; 1258; 1258
