Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item,Utterance length,Reading
10.25FDY_r2.wav,7579,1035,12585,TRUE,FALSE,TRUE,10,25,3930,2
13.6EQY_r2.wav,10864,1673.25,16553.25,FALSE,TRUE,TRUE,13,6,3210,2
17.31FQY_r2.wav,6507,2592.38,14172.38,TRUE,TRUE,TRUE,17,31,4530,2
203.31FQY_r2.wav,3062,6,6576,TRUE,TRUE,TRUE,203,31,3360,2
203.36FDN_r2.wav,1739,5.12,4535.12,TRUE,FALSE,FALSE,203,36,3630,2
3.31FQY_r2.wav,5543,244.12,10204.12,TRUE,TRUE,TRUE,3,31,4020,2
3.35FQN_r2.wav,6346,514.12,10204.12,TRUE,TRUE,FALSE,3,35,2520,2
4.29FQY_r2.wav,10180,462.38,14172.38,TRUE,TRUE,TRUE,4,29,3330,2
4.38FDN_r2.wav,4320,413.12,7823.12,TRUE,FALSE,FALSE,4,38,4320,2
