UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
17-5-1;17.5Y; 17;5EDN;B5; 5;Y;16Y;NO;YES;YES;OBJ;PP1;YES;START;NO;NONE;17.5Y; 17;5EDN;B5; 5;Y;1X;NO;YES;NO;OBJ;NONE;NO;NONE;YES;NONE;NONE; 17;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 5;NO;X;TRUE;YES; 17;5EQN;17.5EQN_X;1;NO;OBJ;16Y;17-5;Q -GP;FALSE;TRUE;OBJ;17-5;2;1;OBJ > PP1;OBJ;OBJ
17-5-2;17.5X; 17;5EDN;B5; 5;X;16Y;YES;YES;YES;OBJ;V;NO;NONE;YES;"""jelly bees""? is this struggling?  it's read fluently but it's wrong...";17.5X; 17;5EDN;B5; 5;X;1X;NO;YES;NO;OBJ;NONE;NO;NONE;YES;NONE;NONE; 17;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 5;NO;Y;TRUE;YES; 17;5EQN;17.5EQN_Y;2;NO;OBJ;16Y;17-5;Q -GP;FALSE;TRUE;OBJ;17-5;2;1;OBJ > PP1;OBJ;OBJ
17-7-1;17.7Y; 17;7EQY;B5; 7;Y;16Y;YES;YES;YES;PP1;V;YES;PP2;NO;NONE;17.7Y; 17;7EQY;B5; 7;Y;1X;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE; 17;PP1;NO;TRUE;NO;NONE;NONE;PP1; 7;YES;X;FALSE;NO; 17;7EDY;17.7EDY_X;1;NO;PP1;16Y;17-7;D +GP;TRUE;FALSE;PP1;17-7;2;1;PP1 > OBJ;PP1;PP1
17-7-2;17.7X; 17;7EQY;B5; 7;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;"""mantle place""? is this struggling? it's read fluently but it's wrong...";17.7X; 17;7EQY;B5; 7;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 17;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1; 7;YES;Y;FALSE;NO; 17;7EDY;17.7EDY_Y;2;NO;OBJ > PP1;16Y;17-7;D +GP;FALSE;TRUE;BOTH;17-7;2;1;PP1 > OBJ;PP1 > OBJ;OBJ > PP1
17-9-1;17.9Y; 17;9EQN;B5; 9;Y;16Y;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;17.9Y; 17;9EQN;B5; 9;Y;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE; 17;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 9;YES;X;FALSE;NO; 17;9EDN;17.9EDN_X;1;NO;OBJ > PP1;16Y;17-9;D -GP;FALSE;TRUE;BOTH;17-9;2;1;OBJ > PP1;OBJ > PP1;OBJ > PP1
17-9-2;17.9X; 17;9EQN;B5; 9;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;17.9X; 17;9EQN;B5; 9;X;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE; 17;NONE;YES;FALSE;NO;NONE;NONE;OBJ PP1; 9;YES;Y;FALSE;NO; 17;9EDN;17.9EDN_Y;2;NO;OBJ PP1;16Y;17-9;D -GP;FALSE;FALSE;BOTH;17-9;2;1;PP1 > OBJ;OBJ > PP1;BOTH
19-1-1;19.1Y; 19;1EQY;B7; 1;Y;1X;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;19.1Y; 19;1EQY;B7; 1;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 19;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 1;YES;X;FALSE;NO; 19;1EDY;19.1EDY_X;1;NO;PP1 > OBJ;1X;19-1;D +GP;TRUE;FALSE;BOTH;19-1;2;3;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
19-1-2;19.1X; 19;1EQY;B7; 1;X;1X;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;19.1X; 19;1EQY;B7; 1;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 19;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 1;YES;Y;FALSE;NO; 19;1EDY;19.1EDY_Y;2;NO;PP1 > OBJ;1X;19-1;D +GP;TRUE;FALSE;BOTH;19-1;2;3;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
19-13-1;19.13Y; 19;13EQN;B7;13;Y;1X;YES;YES;YES;OBJ;NONE;NO;NONE;NO;NONE;19.13Y; 19;13EQN;B7;13;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 19;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;13;NO;X;FALSE;NO; 19;13EDN;19.13EDN_X;1;NO;OBJ;1X;19-13;D -GP;FALSE;TRUE;OBJ;19-13;2;3;OBJ > PP1;OBJ;OBJ
19-13-2;19.13X; 19;13EQN;B7;13;X;1X;NO;YES;YES;OBJ;PP1;YES;OBJ;NO;NONE;19.13X; 19;13EQN;B7;13;X;NONE;NO;NO;YES;PP1;NONE;YES;OBJ;NO;NONE;NONE; 19;OBJ;YES;FALSE;NO;PP1;PP1;OBJ > PP1;13;YES;Y;FALSE;NO; 19;13EDN;19.13EDN_Y;2;YES;OBJ > PP1;1X;19-13;D -GP;FALSE;TRUE;BOTH;19-13;2;3;OBJ > PP1;PP1;OBJ > PP1
