UID;ADDR-dr;SID-dr;ITEM-dr;BSID-dr;IID-dr;XY-dr;FIRST-dr;V-dr;OBJ-dr;PP1-dr;STRONG-dr;WEAK-dr;STRUG-dr;STRUG_START-dr;QI-dr;COMMENT-dr;ADDR-sp;SID-sp;ITEM-sp;BSID-sp;IID-sp;XY-sp;FIRST-sp;V-sp;OBJ-sp;PP1-sp;STRONG-sp;WEAK-sp;STRUG-sp;STRUG_START-sp;QI-sp;COMMENT-sp;X18;Participant;STRONG;OBJ;Condition_GP;V;WEAK;STRUG_START;two_level_prosody;IID;PP1;XY;Condition_Q;QI;SID;REC_CLEAN;REC;Reading;STRUG;prosody;FIRST;pair;condition;pdom;odom;simple2lvl;ID;Order;LIST;pattern-dr;pattern-sp;pattern
208-12-1;208.12Y;208;12EDY;B8;12;Y;1X;YES;NO;YES;V;PP1;NO;NONE;YES;NONE;208.12Y;208;12EDY;B8;12;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;208;PP1;NO;FALSE;NO;NONE;NONE;PP1;12;YES;Y;TRUE;YES;208;12EQN;12EQN;1;NO;PP1;1X;208-12;Q -GP;TRUE;FALSE;PP1;208-12;2;4;PP1;PP1 > OBJ;PP1
208-12-2;208.12X;208;12EDY;B8;12;X;1X;YES;YES;YES;V;OBJ;NO;NONE;YES;NONE;208.12X;208;12EDY;B8;12;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;208;PP1;NO;FALSE;YES;V;NONE;PP1;12;YES;X;TRUE;YES;208;12EQN;12EQN;2;NO;PP1 > V;1X;208-12;Q -GP;TRUE;FALSE;PP1;208-12;2;4;PP1 > OBJ;PP1 > OBJ;PP1
208-14-1;208.14Y;208;14EQN;B8;14;Y;1X;YES;YES;YES;V;OBJ;NO;NONE;NO;NONE;208.14Y;208;14EQN;B8;14;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;NONE;YES;TRUE;NO;NONE;NONE;OBJ PP1;14;YES;Y;FALSE;NO;208;14EDY;14EDY;1;NO;OBJ PP1;1X;208-14;D +GP;FALSE;FALSE;BOTH;208-14;2;4;PP1 > OBJ;PP1 > OBJ;BOTH
208-14-2;208.14X;208;14EQN;B8;14;X;1X;YES;YES;YES;OBJ;NONE;YES;PP2;NO;NONE;208.14X;208;14EQN;B8;14;X;16Y;NO;YES;YES;OBJ;PP1;YES;PP2;NO;NONE;NONE;208;OBJ;YES;TRUE;NO;PP1;PP2;OBJ > PP1;14;YES;X;FALSE;NO;208;14EDY;14EDY;2;YES;OBJ > PP1;1X;208-14;D +GP;FALSE;TRUE;BOTH;208-14;2;4;OBJ > PP1;OBJ > PP1;OBJ > PP1
208-16-1;208.16Y;208;16EQN;B8;16;Y;1X;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;208.16Y;208;16EQN;B8;16;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;16;YES;Y;FALSE;NO;208;16EDY;16EDY;1;NO;PP1 > OBJ;1X;208-16;D +GP;TRUE;FALSE;BOTH;208-16;2;4;BOTH;PP1 > OBJ;PP1 > OBJ
208-16-2;208.16X;208;16EQN;B8;16;X;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;208.16X;208;16EQN;B8;16;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;16;YES;X;FALSE;NO;208;16EDY;16EDY;2;NO;PP1 > OBJ;1X;208-16;D +GP;TRUE;FALSE;BOTH;208-16;2;4;OBJ > PP1;PP1 > OBJ;PP1 > OBJ
208-2-1;208.2Y;208;2EQY;B8; 2;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;208.2Y;208;2EQY;B8; 2;Y;16Y;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;208;PP1;NO;FALSE;NO;NONE;NONE;PP1; 2;YES;Y;FALSE;NO;208;2EDN;2EDN;1;NO;PP1;1X;208-2;D -GP;TRUE;FALSE;PP1;208-2;2;4;PP1 > OBJ;PP1;PP1
208-2-2;208.2X;208;2EQY;B8; 2;X;1X;YES;NO;YES;PP1;V;NO;NONE;NO;NONE;208.2X;208;2EQY;B8; 2;X;16Y;NO;NO;YES;PP1;NONE;YES;NONE;NO;NONE;NONE;208;PP1;NO;FALSE;NO;NONE;NONE;PP1; 2;YES;X;FALSE;NO;208;2EDN;2EDN;2;NO;PP1;1X;208-2;D -GP;TRUE;FALSE;PP1;208-2;2;4;PP1;PP1;PP1
208-4-1;208.4Y;208;4EQN;B8; 4;Y;1X;YES;YES;YES;V;OBJ;NO;NONE;NO;NONE;208.4Y;208;4EQN;B8; 4;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 4;YES;Y;FALSE;NO;208;4EDY;4EDY;1;NO;PP1 > OBJ;1X;208-4;D +GP;TRUE;FALSE;BOTH;208-4;2;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
208-4-2;208.4X;208;4EQN;B8; 4;X;1X;YES;YES;YES;NONE;NONE;NO;NONE;NO;NONE;208.4X;208;4EQN;B8; 4;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 4;YES;X;FALSE;NO;208;4EDY;4EDY;2;NO;PP1 > OBJ;1X;208-4;D +GP;TRUE;FALSE;BOTH;208-4;2;4;BOTH;PP1 > OBJ;PP1 > OBJ
208-6-1;208.6Y;208;6EQN;B8; 6;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;208.6Y;208;6EQN;B8; 6;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;PP1;NO;TRUE;NO;NONE;NONE;PP1; 6;YES;Y;FALSE;NO;208;6EDY;6EDY;1;NO;PP1;1X;208-6;D +GP;TRUE;FALSE;PP1;208-6;2;4;PP1 > OBJ;PP1 > OBJ;PP1
208-6-2;208.6X;208;6EQN;B8; 6;X;1X;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;208.6X;208;6EQN;B8; 6;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;208;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1; 6;YES;X;FALSE;NO;208;6EDY;6EDY;2;NO;OBJ > PP1;1X;208-6;D +GP;FALSE;TRUE;BOTH;208-6;2;4;OBJ > PP1;PP1 > OBJ;OBJ > PP1
208-8-1;208.8Y;208;8EDN;B8; 8;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;208.8Y;208;8EDN;B8; 8;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;208;PP1;NO;TRUE;NO;NONE;NONE;PP1; 8;YES;Y;TRUE;YES;208;8EQY;8EQY;1;NO;PP1;1X;208-8;Q +GP;TRUE;FALSE;PP1;208-8;2;4;PP1 > OBJ;PP1 > OBJ;PP1
208-8-2;208.8X;208;8EDN;B8; 8;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;208.8X;208;8EDN;B8; 8;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;208;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 8;YES;X;TRUE;YES;208;8EQY;8EQY;2;NO;PP1 > OBJ;1X;208-8;Q +GP;TRUE;FALSE;BOTH;208-8;2;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
210-10-1;210.10Y;210;10EQN;B6;10;Y;16Y;YES;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;210.10Y;210;10EQN;B6;10;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;210;PP1;NO;TRUE;NO;NONE;NONE;PP1;10;YES;Y;FALSE;NO;210;10EDY;10EDY;1;NO;PP1;16Y;210-10;D +GP;TRUE;FALSE;PP1;210-10;2;2;PP1 > OBJ;PP1;PP1
210-10-2;210.10X;210;10EQN;B6;10;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;210.10X;210;10EQN;B6;10;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;210;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;10;YES;X;FALSE;NO;210;10EDY;10EDY;2;NO;PP1 > OBJ;16Y;210-10;D +GP;TRUE;FALSE;BOTH;210-10;2;2;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
210-12-1;210.12Y;210;12EDN;B6;12;Y;16Y;YES;NO;YES;PP1;V;NO;NONE;YES;NONE;210.12Y;210;12EDN;B6;12;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;210;PP1;NO;TRUE;NO;NONE;NONE;PP1;12;YES;Y;TRUE;YES;210;12EQY;12EQY;1;NO;PP1;16Y;210-12;Q +GP;TRUE;FALSE;PP1;210-12;2;2;PP1;PP1;PP1
210-12-2;210.12X;210;12EDN;B6;12;X;16Y;YES;YES;YES;PP1;V;NO;NONE;YES;NONE;210.12X;210;12EDN;B6;12;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;210;PP1;NO;TRUE;NO;NONE;NONE;PP1;12;YES;X;TRUE;YES;210;12EQY;12EQY;2;NO;PP1;16Y;210-12;Q +GP;TRUE;FALSE;PP1;210-12;2;2;PP1 > OBJ;PP1 > OBJ;PP1
210-14-1;210.14Y;210;14EQY;B6;14;Y;16Y;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;210.14Y;210;14EQY;B6;14;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;210;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;14;NO;Y;FALSE;NO;210;14EDN;14EDN;1;NO;OBJ;16Y;210-14;D -GP;FALSE;TRUE;OBJ;210-14;2;2;OBJ > PP1;OBJ;OBJ
210-14-2;210.14X;210;14EQY;B6;14;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;210.14X;210;14EQY;B6;14;X;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE;210;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;14;NO;X;FALSE;NO;210;14EDN;14EDN;2;NO;OBJ;16Y;210-14;D -GP;FALSE;TRUE;OBJ;210-14;2;2;BOTH;OBJ;OBJ
210-16-1;210.16Y;210;16EQY;B6;16;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;210.16Y;210;16EQY;B6;16;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1;16;YES;Y;FALSE;NO;210;16EDN;16EDN;1;NO;PP1;16Y;210-16;D -GP;TRUE;FALSE;PP1;210-16;2;2;OBJ > PP1;PP1 > OBJ;PP1
210-16-2;210.16X;210;16EQY;B6;16;X;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;210.16X;210;16EQY;B6;16;X;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1;16;YES;X;FALSE;NO;210;16EDN;16EDN;2;NO;PP1;16Y;210-16;D -GP;TRUE;FALSE;PP1;210-16;2;2;OBJ > PP1;PP1;PP1
210-2-1;210.2Y;210;2EQN;B6; 2;Y;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;210.2Y;210;2EQN;B6; 2;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;210;PP1;NO;TRUE;NO;NONE;NONE;PP1; 2;YES;Y;FALSE;NO;210;2EDY;2EDY;1;NO;PP1;16Y;210-2;D +GP;TRUE;FALSE;PP1;210-2;2;2;PP1 > OBJ;PP1;PP1
210-2-2;210.2X;210;2EQN;B6; 2;X;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;210.2X;210;2EQN;B6; 2;X;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;2X FOR COLUMN D;NONE;210;PP1;NO;TRUE;NO;NONE;NONE;PP1; 2;YES;X;FALSE;NO;210;2EDY;2EDY;2;NO;PP1;16Y;210-2;D +GP;TRUE;FALSE;PP1;210-2;2;2;PP1 > OBJ;PP1;PP1
210-4-1;210.4Y;210;4EQY;B6; 4;Y;16Y;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;210.4Y;210;4EQY;B6; 4;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE;210;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 4;YES;Y;FALSE;NO;210;4EDN;4EDN;1;NO;OBJ > PP1;16Y;210-4;D -GP;FALSE;TRUE;BOTH;210-4;2;2;OBJ > PP1;PP1 > OBJ;OBJ > PP1
210-4-2;210.4X;210;4EQY;B6; 4;X;16Y;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;210.4X;210;4EQY;B6; 4;X;NONE;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE;210;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ; 4;YES;X;FALSE;NO;210;4EDN;4EDN;2;NO;PP1 > OBJ;16Y;210-4;D -GP;TRUE;FALSE;BOTH;210-4;2;2;OBJ > PP1;OBJ > PP1;PP1 > OBJ
210-6-1;210.6Y;210;6EQY;B6; 6;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;210.6Y;210;6EQY;B6; 6;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1; 6;YES;Y;FALSE;NO;210;6EDN;6EDN;1;NO;PP1;16Y;210-6;D -GP;TRUE;FALSE;PP1;210-6;2;2;OBJ > PP1;PP1;PP1
210-6-2;210.6X;210;6EQY;B6; 6;X;16Y;YES;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;210.6X;210;6EQY;B6; 6;X;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1; 6;YES;X;FALSE;NO;210;6EDN;6EDN;2;NO;PP1;16Y;210-6;D -GP;TRUE;FALSE;PP1;210-6;2;2;PP1 > OBJ;PP1;PP1
210-8-1;210.8Y;210;8EDY;B6; 8;Y;16Y;YES;YES;YES;NONE;V;NO;NONE;YES;NONE;210.8Y;210;8EDY;B6; 8;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1; 8;YES;Y;TRUE;YES;210;8EQN;8EQN;1;NO;PP1;16Y;210-8;Q -GP;TRUE;FALSE;PP1;210-8;2;2;BOTH;PP1 > OBJ;PP1
210-8-2;210.8X;210;8EDY;B6; 8;X;16Y;YES;YES;YES;PP1;V;NO;NONE;YES;NONE;210.8X;210;8EDY;B6; 8;X;NONE;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;210;PP1;NO;FALSE;NO;NONE;NONE;PP1; 8;YES;X;TRUE;YES;210;8EQN;8EQN;2;NO;PP1;16Y;210-8;Q -GP;TRUE;FALSE;PP1;210-8;2;2;PP1 > OBJ;PP1;PP1
22-10-1;22.10Y; 22;10EQN;B2;10;Y;16Y;YES;YES;YES;NONE;V;NO;NONE;NO;NONE;22.10Y; 22;10EQN;B2;10;Y;NONE;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1;10;YES;X;FALSE;NO; 22;10EDY;10EDY;1;NO;OBJ > PP1;1Y;22-10;D +GP;FALSE;TRUE;BOTH;22-10;1;2;BOTH;BOTH;OBJ > PP1
22-10-2;22.10X; 22;10EQN;B2;10;X;16Y;YES;YES;YES;OBJ;V;NO;NONE;NO;NONE;22.10X; 22;10EQN;B2;10;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;TRUE;NO;PP1;NONE;OBJ > PP1;10;YES;Y;FALSE;NO; 22;10EDY;10EDY;2;NO;OBJ > PP1;1Y;22-10;D +GP;FALSE;TRUE;BOTH;22-10;1;2;OBJ > PP1;PP1 > OBJ;OBJ > PP1
22-12-1;22.12Y; 22;12EDN;B2;12;Y;16Y;YES;YES;YES;NONE;NONE;NO;NONE;YES;NONE;22.12Y; 22;12EDN;B2;12;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;YES;NONE;NONE; 22;PP1;NO;TRUE;NO;NONE;NONE;PP1;12;YES;X;TRUE;YES; 22;12EQY;12EQY;1;NO;PP1;1Y;22-12;Q +GP;TRUE;FALSE;PP1;22-12;1;2;BOTH;OBJ;PP1
22-12-2;22.12X; 22;12EDN;B2;12;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;22.12X; 22;12EDN;B2;12;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE; 22;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;12;YES;Y;TRUE;YES; 22;12EQY;12EQY;2;NO;PP1 > OBJ;1Y;22-12;Q +GP;TRUE;FALSE;BOTH;22-12;1;2;BOTH;PP1 > OBJ;PP1 > OBJ
22-14-1;22.14Y; 22;14EQY;B2;14;Y;16Y;YES;YES;NO;V;OBJ;NO;NONE;NO;NONE;22.14Y; 22;14EQY;B2;14;Y;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;14;NO;X;FALSE;NO; 22;14EDN;14EDN;1;NO;OBJ;1Y;22-14;D -GP;FALSE;TRUE;OBJ;22-14;1;2;OBJ;OBJ;OBJ
22-14-2;22.14X; 22;14EQY;B2;14;X;16Y;YES;YES;NO;V;OBJ;NO;NONE;NO;NONE;22.14X; 22;14EQY;B2;14;X;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;14;NO;Y;FALSE;NO; 22;14EDN;14EDN;2;NO;OBJ;1Y;22-14;D -GP;FALSE;TRUE;OBJ;22-14;1;2;OBJ;OBJ;OBJ
22-16-1;22.16Y; 22;16EQY;B2;16;Y;16Y;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;22.16Y; 22;16EQY;B2;16;Y;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1;16;YES;X;FALSE;NO; 22;16EDN;16EDN;1;NO;OBJ > PP1;1Y;22-16;D -GP;FALSE;TRUE;BOTH;22-16;1;2;BOTH;PP1 > OBJ;OBJ > PP1
22-16-2;22.16X; 22;16EQY;B2;16;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;22.16X; 22;16EQY;B2;16;X;NONE;NO;YES;YES;NONE;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ;16;NO;Y;FALSE;NO; 22;16EDN;16EDN;2;NO;OBJ;1Y;22-16;D -GP;FALSE;TRUE;OBJ;22-16;1;2;BOTH;BOTH;OBJ
22-2-1;22.2Y; 22;2EQN;B2; 2;Y;16Y;YES;YES;YES;PP1;V;NO;NONE;NO;NONE;22.2Y; 22;2EQN;B2; 2;Y;NONE;NO;NO;YES;PP1;NONE;NO;NONE;NO;NONE;NONE; 22;PP1;NO;TRUE;NO;NONE;NONE;PP1; 2;YES;X;FALSE;NO; 22;2EDY;2EDY;1;NO;PP1;1Y;22-2;D +GP;TRUE;FALSE;PP1;22-2;1;2;PP1 > OBJ;PP1;PP1
22-2-2;22.2X; 22;2EQN;B2; 2;X;16Y;NO;YES;YES;OBJ;PP1;YES;PP1;NO;NONE;22.2X; 22;2EQN;B2; 2;X;NONE;NO;YES;YES;PP1;OBJ;NO;NONE;NO;NONE;2x for column D; 22;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ; 2;YES;Y;FALSE;NO; 22;2EDY;2EDY;2;NO;PP1 > OBJ;1Y;22-2;D +GP;TRUE;FALSE;BOTH;22-2;1;2;OBJ > PP1;PP1 > OBJ;PP1 > OBJ
22-4-1;22.4Y; 22;4EQY;B2; 4;Y;16Y;YES;YES;YES;PP1;NONE;NO;NONE;NO;NONE;22.4Y; 22;4EQY;B2; 4;Y;NONE;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;PP1;NONE;OBJ > PP1; 4;YES;X;FALSE;NO; 22;4EDN;4EDN;1;NO;OBJ > PP1;1Y;22-4;D -GP;FALSE;TRUE;BOTH;22-4;1;2;PP1 > OBJ;OBJ > PP1;OBJ > PP1
22-4-2;22.4X; 22;4EQY;B2; 4;X;16Y;YES;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;22.4X; 22;4EQY;B2; 4;X;NONE;NO;YES;NO;OBJ;NONE;YES;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;YES;V;NONE;OBJ; 4;NO;Y;FALSE;NO; 22;4EDN;4EDN;2;NO;OBJ > V;1Y;22-4;D -GP;FALSE;TRUE;OBJ;22-4;1;2;OBJ > PP1;OBJ;OBJ
22-6-1;22.6Y; 22;6EQY;B2; 6;Y;16Y;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;22.6Y; 22;6EQY;B2; 6;Y;NONE;NO;NO;NO;NONE;NONE;NO;NONE;NO;NONE;NONE; 22;PP1;NO;FALSE;NO;NONE;NONE;PP1; 6;YES;X;FALSE;NO; 22;6EDN;6EDN;1;NO;PP1;1Y;22-6;D -GP;TRUE;FALSE;PP1;22-6;1;2;OBJ;NONE;PP1
22-6-2;22.6X; 22;6EQY;B2; 6;X;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;NO;NONE;22.6X; 22;6EQY;B2; 6;X;NONE;NO;YES;NO;OBJ;NONE;NO;NONE;NO;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 6;NO;Y;FALSE;NO; 22;6EDN;6EDN;2;NO;OBJ;1Y;22-6;D -GP;FALSE;TRUE;OBJ;22-6;1;2;OBJ > PP1;OBJ;OBJ
22-8-1;22.8Y; 22;8EDY;B2; 8;Y;16Y;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;22.8Y; 22;8EDY;B2; 8;Y;NONE;NO;YES;YES;OBJ;PP1;NO;NONE;YES;NONE;NONE; 22;PP1;YES;FALSE;NO;OBJ;NONE;PP1 > OBJ; 8;YES;X;TRUE;YES; 22;8EQN;8EQN;1;NO;PP1 > OBJ;1Y;22-8;Q -GP;TRUE;FALSE;BOTH;22-8;1;2;OBJ > PP1;OBJ > PP1;PP1 > OBJ
22-8-2;22.8X; 22;8EDY;B2; 8;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;22.8X; 22;8EDY;B2; 8;X;NONE;NO;NO;YES;OBJ;NONE;NO;NONE;YES;NONE;NONE; 22;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 8;NO;Y;TRUE;YES; 22;8EQN;8EQN;2;NO;OBJ;1Y;22-8;Q -GP;FALSE;TRUE;OBJ;22-8;1;2;BOTH;PP1;OBJ
4-1-1;4.1Y;  4;1EDY;B4; 1;Y;16Y;YES;YES;YES;PP1;V;NO;NONE;YES;NONE;4.1Y;  4;1EDY;B4; 1;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;NONE;  4;PP1;YES;FALSE;NO;OBJ;PP2;PP1 > OBJ; 1;YES;X;TRUE;YES;  4;1EQN;4.1EQN_X;1;YES;PP1 > OBJ;16X;4-1;Q -GP;TRUE;FALSE;BOTH;4-1;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-1-2;4.1X;  4;1EDY;B4; 1;X;16Y;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;4.1X;  4;1EDY;B4; 1;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  4;OBJ;YES;FALSE;NO;NONE;NONE;OBJ; 1;NO;Y;TRUE;YES;  4;1EQN;4.1EQN_Y;2;NO;OBJ;16X;4-1;Q -GP;FALSE;TRUE;OBJ;4-1;1;4;PP1 > OBJ;PP1;OBJ
4-11-1;4.11Y;  4;11EDN;B4;11;Y;16Y;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;4.11Y;  4;11EDN;B4;11;Y;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;11;YES;X;TRUE;YES;  4;11EQY;4.11EQY_X;1;NO;PP1 > OBJ;16X;4-11;Q +GP;TRUE;FALSE;BOTH;4-11;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-11-2;4.11X;  4;11EDN;B4;11;X;16Y;NO;YES;YES;NONE;NONE;NO;NONE;YES;NONE;4.11X;  4;11EDN;B4;11;X;1X;NO;YES;YES;PP1;OBJ;NO;NONE;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;11;YES;Y;TRUE;YES;  4;11EQY;4.11EQY_Y;2;NO;PP1 > OBJ;16X;4-11;Q +GP;TRUE;FALSE;BOTH;4-11;1;4;BOTH;PP1 > OBJ;PP1 > OBJ
4-13-1;4.13Y;  4;13EDN;B4;13;Y;16Y;YES;YES;YES;PP1;NONE;YES;PP1;YES;NONE;4.13Y;  4;13EDN;B4;13;Y;1X;NO;YES;YES;PP1;OBJ;YES;OBJ;YES;NONE;NONE;  4;PP1;YES;TRUE;NO;OBJ;NONE;PP1 > OBJ;13;YES;X;TRUE;NO;  4;13EQY;4.13EQY_X;1;NO;PP1 > OBJ;16X;4-13;Q +GP;TRUE;FALSE;BOTH;4-13;1;4;PP1 > OBJ;PP1 > OBJ;PP1 > OBJ
4-13-2;4.13X;  4;13EDN;B4;13;X;16Y;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;4.13X;  4;13EDN;B4;13;X;1X;NO;NO;YES;PP1;NONE;NO;NONE;YES;NONE;NONE;  4;PP1;NO;TRUE;NO;NONE;NONE;PP1;13;YES;Y;TRUE;YES;  4;13EQY;4.13EQY_Y;2;NO;PP1;16X;4-13;Q +GP;TRUE;FALSE;PP1;4-13;1;4;PP1 > OBJ;PP1;PP1
4-15-1;4.15Y;  4;15EDY;B4;15;Y;16Y;NO;YES;YES;NONE;NONE;YES;PP2;YES;NONE;4.15Y;  4;15EDY;B4;15;Y;1X;NO;YES;YES;PP1;OBJ;YES;PP2;YES;NONE;NONE;  4;PP1;YES;FALSE;NO;OBJ;PP2;PP1 > OBJ;15;YES;X;TRUE;YES;  4;15EQN;4.15EQN_X;1;YES;PP1 > OBJ;16X;4-15;Q -GP;TRUE;FALSE;BOTH;4-15;1;4;BOTH;PP1 > OBJ;PP1 > OBJ
