STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
PP1,TRUE,1-6-2,TRUE,FALSE,OBJ,PP1,PP1 > OBJ,6,TRUE,Y,TRUE,NO,1,6EQY,1.6EQY_Y,2,TRUE,PP1 > OBJ,1X,1-6,Q +GP,TRUE,FALSE,BOTH,1-6
PP1,TRUE,1-7-1,TRUE,FALSE,OBJ,PP2,PP1 > OBJ,7,TRUE,X,FALSE,NO,1,7EDY,1.7EDY_X,1,TRUE,PP1 > OBJ,1X,1-7,D +GP,TRUE,FALSE,BOTH,1-7
PP1,TRUE,1-7-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,7,TRUE,Y,FALSE,NO,1,7EDY,1.7EDY_Y,2,FALSE,PP1 > OBJ,1X,1-7,D +GP,TRUE,FALSE,BOTH,1-7
PP1,FALSE,1-8-1,TRUE,FALSE,NONE,PP1,PP1,8,TRUE,X,FALSE,NO,1,8EDY,1.8EDY_X,1,TRUE,PP1,1X,1-8,D +GP,TRUE,FALSE,PP1,1-8
NONE,TRUE,1-8-2,TRUE,FALSE,NONE,NA,OBJ PP1,8,TRUE,Y,FALSE,NO,1,8EDY,1.8EDY_Y,2,FALSE,OBJ PP1,1X,1-8,D +GP,FALSE,FALSE,BOTH,1-8
PP1,TRUE,1-9-1,FALSE,TRUE,V,OBJ,PP1 > OBJ,9,TRUE,X,FALSE,NO,1,9EDN,1.9EDN_X,1,TRUE,PP1 > V OBJ,1X,1-9,D -GP,TRUE,FALSE,BOTH,1-9
OBJ,TRUE,1-9-2,FALSE,FALSE,PP1,NA,OBJ > PP1,9,TRUE,Y,FALSE,NO,1,9EDN,1.9EDN_Y,2,FALSE,OBJ > PP1,1X,1-9,D -GP,FALSE,TRUE,BOTH,1-9
OBJ,TRUE,10-1-1,TRUE,FALSE,PP1,PP2,OBJ > PP1,1,TRUE,X,TRUE,YES,10,1EQY,1EQY,1,TRUE,OBJ > PP1,1X,10-1,Q +GP,FALSE,TRUE,BOTH,10-1
PP1,TRUE,10-1-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,Y,TRUE,YES,10,1EQY,1EQY,2,FALSE,PP1 > OBJ,1X,10-1,Q +GP,TRUE,FALSE,BOTH,10-1
PP1,FALSE,10-10-1,TRUE,TRUE,V,NA,PP1,10,TRUE,X,FALSE,NO,10,10EDY,10EDY,1,FALSE,PP1 > V,1X,10-10,D +GP,TRUE,FALSE,PP1,10-10
PP1,FALSE,10-10-2,TRUE,FALSE,NONE,NA,PP1,10,TRUE,Y,FALSE,NO,10,10EDY,10EDY,2,FALSE,PP1,1X,10-10,D +GP,TRUE,FALSE,PP1,10-10
PP1,TRUE,10-11-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,X,TRUE,YES,10,11EQN,11EQN,1,FALSE,PP1 > OBJ,1X,10-11,Q -GP,TRUE,FALSE,BOTH,10-11
OBJ,TRUE,10-11-2,FALSE,FALSE,NONE,NA,OBJ,11,FALSE,Y,TRUE,YES,10,11EQN,11EQN,2,FALSE,OBJ,1X,10-11,Q -GP,FALSE,TRUE,OBJ,10-11
PP1,FALSE,10-12-1,TRUE,TRUE,V,NA,PP1,12,TRUE,X,TRUE,YES,10,12EQY,12EQY,1,FALSE,PP1 > V,1X,10-12,Q +GP,TRUE,FALSE,PP1,10-12
PP1,FALSE,10-12-2,TRUE,TRUE,V,NA,PP1,12,TRUE,Y,TRUE,YES,10,12EQY,12EQY,2,FALSE,PP1 > V,1X,10-12,Q +GP,TRUE,FALSE,PP1,10-12
OBJ,TRUE,10-13-1,FALSE,FALSE,NONE,NA,OBJ,13,FALSE,X,TRUE,YES,10,13EQN,13EQN,1,FALSE,OBJ,1X,10-13,Q -GP,FALSE,TRUE,OBJ,10-13
OBJ,TRUE,10-13-2,FALSE,FALSE,NONE,NA,OBJ,13,FALSE,Y,TRUE,YES,10,13EQN,13EQN,2,FALSE,OBJ,1X,10-13,Q -GP,FALSE,TRUE,OBJ,10-13
OBJ,TRUE,10-14-1,FALSE,FALSE,NONE,NA,OBJ,14,FALSE,X,FALSE,NO,10,14EDN,14EDN,1,FALSE,OBJ,1X,10-14,D -GP,FALSE,TRUE,OBJ,10-14
OBJ,TRUE,10-14-2,FALSE,FALSE,PP1,NA,OBJ > PP1,14,TRUE,Y,FALSE,NO,10,14EDN,14EDN,2,FALSE,OBJ > PP1,1X,10-14,D -GP,FALSE,TRUE,BOTH,10-14
PP1,TRUE,10-15-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,X,TRUE,YES,10,15EQY,15EQY,1,FALSE,PP1 > OBJ,1X,10-15,Q +GP,TRUE,FALSE,BOTH,10-15
