STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST,pair,condition,pdom,odom,simple2lvl,ID
PP1,TRUE,12-7-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,7,TRUE,Y,TRUE,YES,12,7EQY,7EQY,2,FALSE,PP1 > OBJ,16X,12-7,Q +GP,TRUE,FALSE,BOTH,12-7
PP1,FALSE,12-8-1,TRUE,FALSE,NONE,NA,PP1,8,TRUE,X,TRUE,YES,12,8EQY,8EQY,1,FALSE,PP1,16X,12-8,Q +GP,TRUE,FALSE,PP1,12-8
PP1,TRUE,12-8-2,TRUE,FALSE,OBJ,PP2,PP1 > OBJ,8,TRUE,Y,TRUE,YES,12,8EQY,8EQY,2,TRUE,PP1 > OBJ,16X,12-8,Q +GP,TRUE,FALSE,BOTH,12-8
OBJ,TRUE,12-9-1,FALSE,FALSE,NONE,NA,OBJ,9,FALSE,X,TRUE,YES,12,9EQN,9EQN,1,FALSE,OBJ,16X,12-9,Q -GP,FALSE,TRUE,OBJ,12-9
OBJ,TRUE,12-9-2,FALSE,FALSE,PP1,NA,OBJ > PP1,9,TRUE,Y,TRUE,YES,12,9EQN,9EQN,2,FALSE,OBJ > PP1,16X,12-9,Q -GP,FALSE,TRUE,BOTH,12-9
PP1,TRUE,13-1-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,X,FALSE,NO,13,1EDN,13.1EDN_X,1,FALSE,PP1 > OBJ,16X,13-1,D -GP,TRUE,FALSE,BOTH,13-1
OBJ,TRUE,13-1-2,FALSE,FALSE,PP1,NA,OBJ > PP1,1,TRUE,Y,FALSE,NO,13,1EDN,13.1EDN_Y,2,FALSE,OBJ > PP1,16X,13-1,D -GP,FALSE,TRUE,BOTH,13-1
PP1,FALSE,13-10-1,FALSE,TRUE,V,NA,PP1,10,TRUE,X,TRUE,YES,13,10EQN,13.10EQN_X,1,FALSE,PP1 > V,16X,13-10,Q -GP,TRUE,FALSE,PP1,13-10
PP1,FALSE,13-10-2,FALSE,FALSE,NONE,NA,PP1,10,TRUE,Y,TRUE,YES,13,10EQN,13.10EQN_Y,2,FALSE,PP1,16X,13-10,Q -GP,TRUE,FALSE,PP1,13-10
PP1,FALSE,13-11-1,TRUE,FALSE,NONE,NA,PP1,11,TRUE,X,FALSE,NO,13,11EDY,13.11EDY_X,1,FALSE,PP1,16X,13-11,D +GP,TRUE,FALSE,PP1,13-11
PP1,TRUE,13-11-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,Y,FALSE,NO,13,11EDY,13.11EDY_Y,2,FALSE,PP1 > OBJ,16X,13-11,D +GP,TRUE,FALSE,BOTH,13-11
PP1,FALSE,13-12-1,FALSE,FALSE,NONE,NA,PP1,12,TRUE,X,FALSE,NO,13,12EDN,13.12EDN_X,1,FALSE,PP1,16X,13-12,D -GP,TRUE,FALSE,PP1,13-12
PP1,TRUE,13-12-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,12,TRUE,Y,FALSE,NO,13,12EDN,13.12EDN_Y,2,FALSE,PP1 > OBJ,16X,13-12,D -GP,TRUE,FALSE,BOTH,13-12
NONE,TRUE,13-13-1,TRUE,FALSE,NONE,NA,OBJ PP1,13,TRUE,X,FALSE,NO,13,13EDY,13.13EDY_X,1,FALSE,OBJ PP1,16X,13-13,D +GP,FALSE,FALSE,BOTH,13-13
PP1,TRUE,13-13-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,13,TRUE,Y,FALSE,NO,13,13EDY,13.13EDY_Y,2,FALSE,PP1 > OBJ,16X,13-13,D +GP,TRUE,FALSE,BOTH,13-13
PP1,FALSE,13-14-1,TRUE,FALSE,NONE,NA,PP1,14,TRUE,X,TRUE,YES,13,14EQY,13.14EQY_X,1,FALSE,PP1,16X,13-14,Q +GP,TRUE,FALSE,PP1,13-14
OBJ,TRUE,13-14-2,TRUE,FALSE,PP1,NA,OBJ > PP1,14,TRUE,Y,TRUE,YES,13,14EQY,13.14EQY_Y,2,FALSE,OBJ > PP1,16X,13-14,Q +GP,FALSE,TRUE,BOTH,13-14
PP1,TRUE,13-15-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,X,FALSE,NO,13,15EDN,13.15EDN_X,1,FALSE,PP1 > OBJ,16X,13-15,D -GP,TRUE,FALSE,BOTH,13-15
OBJ,TRUE,13-15-2,FALSE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,Y,FALSE,NO,13,15EDN,13.15EDN_Y,2,FALSE,OBJ > PP1,16X,13-15,D -GP,FALSE,TRUE,BOTH,13-15
PP1,FALSE,13-16-1,TRUE,FALSE,NONE,NA,PP1,16,TRUE,X,TRUE,YES,13,16EQY,13.16EQY_X,1,FALSE,PP1,16X,13-16,Q +GP,TRUE,FALSE,PP1,13-16
OBJ,TRUE,13-16-2,TRUE,FALSE,PP1,NA,OBJ > PP1,16,TRUE,Y,TRUE,YES,13,16EQY,13.16EQY_Y,2,FALSE,OBJ > PP1,16X,13-16,Q +GP,FALSE,TRUE,BOTH,13-16
PP1,FALSE,13-2-1,FALSE,FALSE,NONE,START,PP1,2,TRUE,X,TRUE,YES,13,2EQN,13.2EQN_X,1,FALSE,PP1,16X,13-2,Q -GP,TRUE,FALSE,PP1,13-2
OBJ,TRUE,13-2-2,FALSE,FALSE,PP1,NA,OBJ > PP1,2,TRUE,Y,TRUE,YES,13,2EQN,13.2EQN_Y,2,FALSE,OBJ > PP1,16X,13-2,Q -GP,FALSE,TRUE,BOTH,13-2
OBJ,TRUE,13-3-1,FALSE,FALSE,NONE,NA,OBJ,3,FALSE,X,TRUE,NO,13,3EQN,13.3EQN_X,1,FALSE,OBJ,16X,13-3,Q -GP,FALSE,TRUE,OBJ,13-3
OBJ,TRUE,13-3-2,FALSE,FALSE,NONE,PP2,OBJ,3,FALSE,Y,TRUE,YES,13,3EQN,13.3EQN_Y,2,TRUE,OBJ,16X,13-3,Q -GP,FALSE,TRUE,OBJ,13-3
PP1,TRUE,13-4-1,TRUE,FALSE,OBJ,PP2,PP1 > OBJ,4,TRUE,X,TRUE,NO,13,4EQY,13.4EQY_X,1,TRUE,PP1 > OBJ,16X,13-4,Q +GP,TRUE,FALSE,BOTH,13-4
PP1,TRUE,13-4-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,4,TRUE,Y,TRUE,YES,13,4EQY,13.4EQY_Y,2,FALSE,PP1 > OBJ,16X,13-4,Q +GP,TRUE,FALSE,BOTH,13-4
OBJ,TRUE,13-5-1,FALSE,FALSE,NONE,NA,OBJ,5,FALSE,X,TRUE,YES,13,5EQN,13.5EQN_X,1,FALSE,OBJ,16X,13-5,Q -GP,FALSE,TRUE,OBJ,13-5
OBJ,TRUE,13-5-2,FALSE,FALSE,NONE,NA,OBJ,5,FALSE,Y,TRUE,YES,13,5EQN,13.5EQN_Y,2,FALSE,OBJ,16X,13-5,Q -GP,FALSE,TRUE,OBJ,13-5
PP1,FALSE,13-6-1,TRUE,FALSE,NONE,NA,PP1,6,TRUE,X,TRUE,YES,13,6EQY,13.6EQY_X,1,FALSE,PP1,16X,13-6,Q +GP,TRUE,FALSE,PP1,13-6
PP1,TRUE,13-6-2,TRUE,TRUE,OBJ,NA,PP1 > OBJ,6,TRUE,Y,TRUE,YES,13,6EQY,13.6EQY_Y,2,FALSE,PP1 > V OBJ,16X,13-6,Q +GP,TRUE,FALSE,BOTH,13-6
PP1,TRUE,13-7-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,7,TRUE,X,FALSE,NO,13,7EDY,13.7EDY_X,1,FALSE,PP1 > OBJ,16X,13-7,D +GP,TRUE,FALSE,BOTH,13-7
PP1,TRUE,13-7-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,7,TRUE,Y,FALSE,NO,13,7EDY,13.7EDY_Y,2,FALSE,PP1 > OBJ,16X,13-7,D +GP,TRUE,FALSE,BOTH,13-7
OBJ,TRUE,13-8-1,TRUE,FALSE,PP1,PP1,OBJ > PP1,8,TRUE,X,FALSE,NO,13,8EDY,13.8EDY_X,1,TRUE,OBJ > PP1,16X,13-8,D +GP,FALSE,TRUE,BOTH,13-8
OBJ,TRUE,13-8-2,TRUE,FALSE,PP1,NA,OBJ > PP1,8,TRUE,Y,FALSE,NO,13,8EDY,13.8EDY_Y,2,FALSE,OBJ > PP1,16X,13-8,D +GP,FALSE,TRUE,BOTH,13-8
OBJ,TRUE,13-9-1,FALSE,FALSE,PP1,PP2,OBJ > PP1,9,TRUE,X,FALSE,NO,13,9EDN,13.9EDN_X,1,TRUE,OBJ > PP1,16X,13-9,D -GP,FALSE,TRUE,BOTH,13-9
NONE,TRUE,13-9-2,FALSE,FALSE,NONE,NA,OBJ PP1,9,TRUE,Y,FALSE,NO,13,9EDN,13.9EDN_Y,2,FALSE,OBJ PP1,16X,13-9,D -GP,FALSE,FALSE,BOTH,13-9
PP1,FALSE,14-1-1,TRUE,TRUE,V,PP2,PP1,1,TRUE,X,TRUE,YES,14,1EQY,1EQY,1,TRUE,PP1 > V,16Y,14-1,Q +GP,TRUE,FALSE,PP1,14-1
PP1,TRUE,14-1-2,TRUE,FALSE,OBJ,PP2,PP1 > OBJ,1,TRUE,Y,TRUE,YES,14,1EQY,1EQY,2,TRUE,PP1 > OBJ,16Y,14-1,Q +GP,TRUE,FALSE,BOTH,14-1
PP1,FALSE,14-10-1,TRUE,FALSE,NONE,NA,PP1,10,TRUE,X,FALSE,NO,14,10EDY,10EDY,1,FALSE,PP1,16Y,14-10,D +GP,TRUE,FALSE,PP1,14-10
PP1,FALSE,14-10-2,TRUE,FALSE,NONE,NA,PP1,10,TRUE,Y,FALSE,NO,14,10EDY,10EDY,2,FALSE,PP1,16Y,14-10,D +GP,TRUE,FALSE,PP1,14-10
OBJ,TRUE,14-11-1,FALSE,FALSE,PP1,PP1,OBJ > PP1,11,TRUE,X,TRUE,YES,14,11EQN,11EQN,1,TRUE,OBJ > PP1,16Y,14-11,Q -GP,FALSE,TRUE,BOTH,14-11
OBJ,TRUE,14-11-2,FALSE,FALSE,NONE,NA,OBJ,11,FALSE,Y,TRUE,YES,14,11EQN,11EQN,2,FALSE,OBJ,16Y,14-11,Q -GP,FALSE,TRUE,OBJ,14-11
PP1,FALSE,14-12-1,TRUE,FALSE,NONE,PP2,PP1,12,TRUE,X,TRUE,YES,14,12EQY,12EQY,1,TRUE,PP1,16Y,14-12,Q +GP,TRUE,FALSE,PP1,14-12
PP1,FALSE,14-12-2,TRUE,FALSE,NONE,V,PP1,12,TRUE,Y,TRUE,NO,14,12EQY,12EQY,2,TRUE,PP1,16Y,14-12,Q +GP,TRUE,FALSE,PP1,14-12
OBJ,TRUE,14-13-1,FALSE,FALSE,NONE,NA,OBJ,13,FALSE,X,TRUE,YES,14,13EQN,13EQN,1,FALSE,OBJ,16Y,14-13,Q -GP,FALSE,TRUE,OBJ,14-13
OBJ,TRUE,14-13-2,FALSE,FALSE,NONE,NA,OBJ,13,FALSE,Y,TRUE,YES,14,13EQN,13EQN,2,FALSE,OBJ,16Y,14-13,Q -GP,FALSE,TRUE,OBJ,14-13
OBJ,TRUE,14-14-1,FALSE,FALSE,NONE,NA,OBJ,14,FALSE,X,FALSE,NO,14,14EDN,14EDN,1,FALSE,OBJ,16Y,14-14,D -GP,FALSE,TRUE,OBJ,14-14
PP1,TRUE,14-14-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,14,TRUE,Y,FALSE,NO,14,14EDN,14EDN,2,FALSE,PP1 > OBJ,16Y,14-14,D -GP,TRUE,FALSE,BOTH,14-14
PP1,TRUE,14-15-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,X,TRUE,YES,14,15EQY,15EQY,1,FALSE,PP1 > OBJ,16Y,14-15,Q +GP,TRUE,FALSE,BOTH,14-15
PP1,TRUE,14-15-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,Y,TRUE,YES,14,15EQY,15EQY,2,FALSE,PP1 > OBJ,16Y,14-15,Q +GP,TRUE,FALSE,BOTH,14-15
PP1,FALSE,14-16-1,FALSE,FALSE,NONE,PP1,PP1,16,TRUE,X,FALSE,NO,14,16EDN,16EDN,1,TRUE,PP1,16Y,14-16,D -GP,TRUE,FALSE,PP1,14-16
PP1,FALSE,14-16-2,FALSE,FALSE,NONE,NA,PP1,16,TRUE,Y,FALSE,NO,14,16EDN,16EDN,2,FALSE,PP1,16Y,14-16,D -GP,TRUE,FALSE,PP1,14-16
PP1,FALSE,14-2-1,TRUE,FALSE,NONE,NA,PP1,2,TRUE,X,FALSE,NO,14,2EDY,2EDY,1,FALSE,PP1,16Y,14-2,D +GP,TRUE,FALSE,PP1,14-2
PP1,FALSE,14-2-2,TRUE,TRUE,V,V,PP1,2,TRUE,Y,FALSE,NO,14,2EDY,2EDY,2,TRUE,PP1 > V,16Y,14-2,D +GP,TRUE,FALSE,PP1,14-2
PP1,FALSE,14-3-1,TRUE,TRUE,V,NA,PP1,3,TRUE,X,FALSE,NO,14,3EDY,3EDY,1,FALSE,PP1 > V,16Y,14-3,D +GP,TRUE,FALSE,PP1,14-3
PP1,TRUE,14-3-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,3,TRUE,Y,FALSE,NO,14,3EDY,3EDY,2,FALSE,PP1 > OBJ,16Y,14-3,D +GP,TRUE,FALSE,BOTH,14-3
OBJ,TRUE,14-4-1,FALSE,FALSE,NONE,NA,OBJ,4,FALSE,X,FALSE,NO,14,4EDN,4EDN,1,FALSE,OBJ,16Y,14-4,D -GP,FALSE,TRUE,OBJ,14-4
OBJ,TRUE,14-4-2,FALSE,TRUE,V,START,OBJ,4,FALSE,Y,FALSE,NO,14,4EDN,4EDN,2,TRUE,OBJ > V,16Y,14-4,D -GP,FALSE,TRUE,OBJ,14-4
PP1,FALSE,14-5-1,TRUE,FALSE,NONE,NA,PP1,5,TRUE,X,FALSE,NO,14,5EDY,5EDY,1,FALSE,PP1,16Y,14-5,D +GP,TRUE,FALSE,PP1,14-5
PP1,TRUE,14-5-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,5,TRUE,Y,FALSE,NO,14,5EDY,5EDY,2,FALSE,PP1 > OBJ,16Y,14-5,D +GP,TRUE,FALSE,BOTH,14-5
OBJ,TRUE,14-6-1,FALSE,FALSE,PP1,PP2,OBJ > PP1,6,TRUE,X,FALSE,NO,14,6EDN,6EDN,1,TRUE,OBJ > PP1,16Y,14-6,D -GP,FALSE,TRUE,BOTH,14-6
OBJ,TRUE,14-6-2,FALSE,FALSE,PP1,NA,OBJ > PP1,6,TRUE,Y,FALSE,NO,14,6EDN,6EDN,2,FALSE,OBJ > PP1,16Y,14-6,D -GP,FALSE,TRUE,BOTH,14-6
OBJ,TRUE,14-7-1,FALSE,FALSE,PP1,PP2,OBJ > PP1,7,TRUE,X,TRUE,YES,14,7EQN,7EQN,1,TRUE,OBJ > PP1,16Y,14-7,Q -GP,FALSE,TRUE,BOTH,14-7
OBJ,TRUE,14-7-2,FALSE,FALSE,PP1,NA,OBJ > PP1,7,TRUE,Y,TRUE,YES,14,7EQN,7EQN,2,FALSE,OBJ > PP1,16Y,14-7,Q -GP,FALSE,TRUE,BOTH,14-7
OBJ,TRUE,14-8-1,FALSE,FALSE,PP1,PP1,OBJ > PP1,8,TRUE,X,TRUE,YES,14,8EQN,8EQN,1,TRUE,OBJ > PP1,16Y,14-8,Q -GP,FALSE,TRUE,BOTH,14-8
OBJ,TRUE,14-8-2,FALSE,FALSE,PP1,NA,OBJ > PP1,8,TRUE,Y,TRUE,YES,14,8EQN,8EQN,2,FALSE,OBJ > PP1,16Y,14-8,Q -GP,FALSE,TRUE,BOTH,14-8
PP1,TRUE,14-9-1,TRUE,FALSE,OBJ,PP1,PP1 > OBJ,9,TRUE,X,TRUE,YES,14,9EQY,9EQY,1,TRUE,PP1 > OBJ,16Y,14-9,Q +GP,TRUE,FALSE,BOTH,14-9
PP1,TRUE,14-9-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,9,TRUE,Y,TRUE,YES,14,9EQY,9EQY,2,FALSE,PP1 > OBJ,16Y,14-9,Q +GP,TRUE,FALSE,BOTH,14-9
PP1,FALSE,15-1-1,TRUE,FALSE,NONE,NA,PP1,1,TRUE,X,FALSE,NO,15,1EDY,15.1EDY_X,1,FALSE,PP1,1X,15-1,D +GP,TRUE,FALSE,PP1,15-1
PP1,FALSE,15-1-2,TRUE,FALSE,NONE,NA,PP1,1,TRUE,Y,FALSE,NO,15,1EDY,15.1EDY_Y,2,FALSE,PP1,1X,15-1,D +GP,TRUE,FALSE,PP1,15-1
PP1,FALSE,15-10-1,TRUE,FALSE,NONE,NA,PP1,10,TRUE,X,TRUE,YES,15,10EQY,15.10EQY_X,1,FALSE,PP1,1X,15-10,Q +GP,TRUE,FALSE,PP1,15-10
OBJ,TRUE,15-10-2,TRUE,FALSE,PP1,NA,OBJ > PP1,10,TRUE,Y,TRUE,YES,15,10EQY,15.10EQY_Y,2,FALSE,OBJ > PP1,1X,15-10,Q +GP,FALSE,TRUE,BOTH,15-10
PP1,TRUE,15-11-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,X,FALSE,NO,15,11EDN,15.11EDN_X,1,FALSE,PP1 > OBJ,1X,15-11,D -GP,TRUE,FALSE,BOTH,15-11
OBJ,TRUE,15-11-2,FALSE,FALSE,NONE,NA,OBJ,11,FALSE,Y,FALSE,NO,15,11EDN,15.11EDN_Y,2,FALSE,OBJ,1X,15-11,D -GP,FALSE,TRUE,OBJ,15-11
PP1,FALSE,15-12-1,TRUE,FALSE,NONE,NA,PP1,12,TRUE,X,FALSE,NO,15,12EDY,15.12EDY_X,1,FALSE,PP1,1X,15-12,D +GP,TRUE,FALSE,PP1,15-12
PP1,FALSE,15-12-2,TRUE,FALSE,NONE,NA,PP1,12,TRUE,Y,FALSE,NO,15,12EDY,15.12EDY_Y,2,FALSE,PP1,1X,15-12,D +GP,TRUE,FALSE,PP1,15-12
PP1,FALSE,15-13-1,FALSE,FALSE,NONE,NA,PP1,13,TRUE,X,FALSE,NO,15,13EDN,15.13EDN_X,1,FALSE,PP1,1X,15-13,D -GP,TRUE,FALSE,PP1,15-13
PP1,FALSE,15-13-2,FALSE,FALSE,NONE,NA,PP1,13,TRUE,Y,FALSE,NO,15,13EDN,15.13EDN_Y,2,FALSE,PP1,1X,15-13,D -GP,TRUE,FALSE,PP1,15-13
OBJ,TRUE,15-14-1,FALSE,FALSE,NONE,NA,OBJ,14,FALSE,X,TRUE,YES,15,14EQN,15.14EQN_X,1,FALSE,OBJ,1X,15-14,Q -GP,FALSE,TRUE,OBJ,15-14
PP1,TRUE,15-14-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,14,TRUE,Y,TRUE,YES,15,14EQN,15.14EQN_Y,2,FALSE,PP1 > OBJ,1X,15-14,Q -GP,TRUE,FALSE,BOTH,15-14
PP1,TRUE,15-15-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,15,TRUE,X,FALSE,NO,15,15EDY,15.15EDY_X,1,FALSE,PP1 > OBJ,1X,15-15,D +GP,TRUE,FALSE,BOTH,15-15
PP1,FALSE,15-15-2,TRUE,FALSE,NONE,NA,PP1,15,TRUE,Y,FALSE,NO,15,15EDY,15.15EDY_Y,2,FALSE,PP1,1X,15-15,D +GP,TRUE,FALSE,PP1,15-15
OBJ,TRUE,15-16-1,FALSE,FALSE,NONE,NA,OBJ,16,FALSE,X,TRUE,YES,15,16EQN,15.16EQN_X,1,FALSE,OBJ,1X,15-16,Q -GP,FALSE,TRUE,OBJ,15-16
OBJ,TRUE,15-16-2,FALSE,FALSE,PP1,NA,OBJ > PP1,16,TRUE,Y,TRUE,YES,15,16EQN,15.16EQN_Y,2,FALSE,OBJ > PP1,1X,15-16,Q -GP,FALSE,TRUE,BOTH,15-16
PP1,FALSE,15-2-1,TRUE,FALSE,NONE,NA,PP1,2,TRUE,X,TRUE,YES,15,2EQY,15.2EQY_X,1,FALSE,PP1,1X,15-2,Q +GP,TRUE,FALSE,PP1,15-2
PP1,TRUE,15-2-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,2,TRUE,Y,TRUE,YES,15,2EQY,15.2EQY_Y,2,FALSE,PP1 > OBJ,1X,15-2,Q +GP,TRUE,FALSE,BOTH,15-2
PP1,FALSE,15-3-1,TRUE,FALSE,NONE,NA,PP1,3,TRUE,X,TRUE,YES,15,3EQY,15.3EQY_X,1,FALSE,PP1,1X,15-3,Q +GP,TRUE,FALSE,PP1,15-3
PP1,TRUE,15-3-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,3,TRUE,Y,TRUE,YES,15,3EQY,15.3EQY_Y,2,FALSE,PP1 > OBJ,1X,15-3,Q +GP,TRUE,FALSE,BOTH,15-3
OBJ,TRUE,15-4-1,FALSE,FALSE,PP1,NA,OBJ > PP1,4,TRUE,X,TRUE,YES,15,4EQN,15.4EQN_X,1,FALSE,OBJ > PP1,1X,15-4,Q -GP,FALSE,TRUE,BOTH,15-4
PP1,TRUE,15-4-2,FALSE,TRUE,V,NA,PP1 > OBJ,4,TRUE,Y,TRUE,YES,15,4EQN,15.4EQN_Y,2,FALSE,PP1 > V OBJ,1X,15-4,Q -GP,TRUE,FALSE,BOTH,15-4
PP1,FALSE,15-5-1,TRUE,FALSE,NONE,NA,PP1,5,TRUE,X,TRUE,YES,15,5EQY,15.5EQY_X,1,FALSE,PP1,1X,15-5,Q +GP,TRUE,FALSE,PP1,15-5
PP1,FALSE,15-5-2,TRUE,FALSE,NONE,NA,PP1,5,TRUE,Y,TRUE,YES,15,5EQY,15.5EQY_Y,2,FALSE,PP1,1X,15-5,Q +GP,TRUE,FALSE,PP1,15-5
PP1,FALSE,15-6-1,FALSE,FALSE,NONE,NA,PP1,6,TRUE,X,TRUE,YES,15,6EQN,15.6EQN_X,1,FALSE,PP1,1X,15-6,Q -GP,TRUE,FALSE,PP1,15-6
PP1,FALSE,15-6-2,FALSE,FALSE,NONE,NA,PP1,6,TRUE,Y,TRUE,YES,15,6EQN,15.6EQN_Y,2,FALSE,PP1,1X,15-6,Q -GP,TRUE,FALSE,PP1,15-6
OBJ,TRUE,15-7-1,FALSE,FALSE,NONE,NA,OBJ,7,FALSE,X,FALSE,NO,15,7EDN,15.7EDN_X,1,FALSE,OBJ,1X,15-7,D -GP,FALSE,TRUE,OBJ,15-7
PP1,FALSE,15-7-2,FALSE,FALSE,NONE,NA,PP1,7,TRUE,Y,FALSE,NO,15,7EDN,15.7EDN_Y,2,FALSE,PP1,1X,15-7,D -GP,TRUE,FALSE,PP1,15-7
PP1,TRUE,15-8-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,8,TRUE,X,FALSE,NO,15,8EDN,15.8EDN_X,1,FALSE,PP1 > OBJ,1X,15-8,D -GP,TRUE,FALSE,BOTH,15-8
PP1,FALSE,15-8-2,FALSE,FALSE,NONE,NA,PP1,8,TRUE,Y,FALSE,NO,15,8EDN,15.8EDN_Y,2,FALSE,PP1,1X,15-8,D -GP,TRUE,FALSE,PP1,15-8
PP1,TRUE,15-9-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,9,TRUE,X,FALSE,NO,15,9EDY,15.9EDY_X,1,FALSE,PP1 > OBJ,1X,15-9,D +GP,TRUE,FALSE,BOTH,15-9
PP1,FALSE,15-9-2,TRUE,FALSE,NONE,NA,PP1,9,TRUE,Y,FALSE,NO,15,9EDY,15.9EDY_Y,2,FALSE,PP1,1X,15-9,D +GP,TRUE,FALSE,PP1,15-9
PP1,TRUE,16-1-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,X,TRUE,YES,16,1EQN,1EQN,1,FALSE,PP1 > OBJ,1X,16-1,Q -GP,TRUE,FALSE,BOTH,16-1
PP1,TRUE,16-1-2,FALSE,FALSE,OBJ,NA,PP1 > OBJ,1,TRUE,Y,TRUE,YES,16,1EQN,1EQN,2,FALSE,PP1 > OBJ,1X,16-1,Q -GP,TRUE,FALSE,BOTH,16-1
OBJ,TRUE,16-10-1,FALSE,FALSE,PP1,NA,OBJ > PP1,10,TRUE,X,FALSE,NO,16,10EDN,10EDN,1,FALSE,OBJ > PP1,1X,16-10,D -GP,FALSE,TRUE,BOTH,16-10
OBJ,TRUE,16-10-2,FALSE,FALSE,NONE,NA,OBJ,10,FALSE,Y,FALSE,NO,16,10EDN,10EDN,2,FALSE,OBJ,1X,16-10,D -GP,FALSE,TRUE,OBJ,16-10
OBJ,TRUE,16-11-1,TRUE,FALSE,PP1,NA,OBJ > PP1,11,TRUE,X,TRUE,YES,16,11EQY,11EQY,1,FALSE,OBJ > PP1,1X,16-11,Q +GP,FALSE,TRUE,BOTH,16-11
PP1,TRUE,16-11-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,11,TRUE,Y,TRUE,YES,16,11EQY,11EQY,2,FALSE,PP1 > OBJ,1X,16-11,Q +GP,TRUE,FALSE,BOTH,16-11
PP1,TRUE,16-12-1,FALSE,FALSE,OBJ,NA,PP1 > OBJ,12,TRUE,X,TRUE,YES,16,12EQN,12EQN,1,FALSE,PP1 > OBJ,1X,16-12,Q -GP,TRUE,FALSE,BOTH,16-12
OBJ,TRUE,16-12-2,FALSE,FALSE,PP1,NA,OBJ > PP1,12,TRUE,Y,TRUE,YES,16,12EQN,12EQN,2,FALSE,OBJ > PP1,1X,16-12,Q -GP,FALSE,TRUE,BOTH,16-12
PP1,TRUE,16-13-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,13,TRUE,X,TRUE,YES,16,13EQY,13EQY,1,FALSE,PP1 > OBJ,1X,16-13,Q +GP,TRUE,FALSE,BOTH,16-13
PP1,TRUE,16-13-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,13,TRUE,Y,TRUE,YES,16,13EQY,13EQY,2,FALSE,PP1 > OBJ,1X,16-13,Q +GP,TRUE,FALSE,BOTH,16-13
PP1,FALSE,16-14-1,TRUE,TRUE,V,NA,PP1,14,TRUE,X,FALSE,NO,16,14EDY,14EDY,1,FALSE,PP1 > V,1X,16-14,D +GP,TRUE,FALSE,PP1,16-14
OBJ,TRUE,16-14-2,TRUE,FALSE,PP1,NA,OBJ > PP1,14,TRUE,Y,FALSE,NO,16,14EDY,14EDY,2,FALSE,OBJ > PP1,1X,16-14,D +GP,FALSE,TRUE,BOTH,16-14
OBJ,TRUE,16-15-1,FALSE,FALSE,NONE,NA,OBJ,15,FALSE,X,TRUE,YES,16,15EQN,15EQN,1,FALSE,OBJ,1X,16-15,Q -GP,FALSE,TRUE,OBJ,16-15
OBJ,TRUE,16-15-2,FALSE,FALSE,PP1,NA,OBJ > PP1,15,TRUE,Y,TRUE,YES,16,15EQN,15EQN,2,FALSE,OBJ > PP1,1X,16-15,Q -GP,FALSE,TRUE,BOTH,16-15
PP1,TRUE,16-16-1,TRUE,FALSE,OBJ,NA,PP1 > OBJ,16,TRUE,X,FALSE,NO,16,16EDY,16EDY,1,FALSE,PP1 > OBJ,1X,16-16,D +GP,TRUE,FALSE,BOTH,16-16
PP1,TRUE,16-16-2,TRUE,FALSE,OBJ,NA,PP1 > OBJ,16,TRUE,Y,FALSE,NO,16,16EDY,16EDY,2,FALSE,PP1 > OBJ,1X,16-16,D +GP,TRUE,FALSE,BOTH,16-16
PP1,FALSE,16-2-1,FALSE,FALSE,NONE,NA,PP1,2,TRUE,X,FALSE,NO,16,2EDN,2EDN,1,FALSE,PP1,1X,16-2,D -GP,TRUE,FALSE,PP1,16-2
