Participant,r1delbyp,r1DelCat,Item,target,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller,Condition_Q,Condition_GP,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10
4,1410,SLOW,1,1,he,had,intended to,cram,in,into,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,FALSE,9402.12,4.1EQN,3450,9090,13605.5,4350,5442.12,312.12,1,+Q -GP,+Q,-GP,9402.12,3.973225789822373
4,1410,SLOW,10,10,he,had,decided to,stick,in,into,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,FALSE,5738.62,4.10EDN,3300,5460,9410.38,3390,4988.62,278.62,1,-Q -GP,-Q,-GP,5738.62,3.758807467582462
4,1410,SLOW,11,11,she,had,wanted to,stick,in,into,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,TRUE,8428.88,4.11EQY,3180,8400,13265.25,4470,5668.88,28.88,1,+Q +GP,+Q,+GP,8428.88,3.925769870931443
4,1410,SLOW,14,14,he,had,decided to,set,on,onto,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,TRUE,6828.75,4.14EDY,3210,6690,10884.38,2880,5328.75,138.75,1,-Q +GP,-Q,+GP,6828.75,3.834341213522639
4,1410,SLOW,13,13,she,had,intended to,set,in,onto,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,TRUE,3748.88,4.13EQY,3180,3480,7369.62,3810,5668.88,268.88,1,+Q +GP,+Q,+GP,3748.88,3.5739015390686797
4,1410,SLOW,5,5,he,had,intended to,put,on,into,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,FALSE,6445.38,4.5EDN,2610,4920,9183.62,2430,5215.38,1525.38,1,-Q -GP,-Q,-GP,6445.38,3.809248527125906
4,1410,SLOW,4,4,she,had,planned to,cram,in,into,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,TRUE,6852.12,4.4EDY,3300,5580,10204.12,2940,5442.12,1272.12,1,-Q +GP,-Q,+GP,6852.12,3.835824960084699
4,1410,SLOW,8,8,she,had,planned to,put,in,onto,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,TRUE,11839.62,4.8EQY,4770,9390,14739.25,2160,7369.62,2449.62,1,+Q +GP,+Q,+GP,11839.62,4.073337763657889
4,1410,SLOW,16,16,he,had,planned to,set,on,onto,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,TRUE,4995.25,4.16EDY,2190,3780,8163.25,2790,4875.25,1215.25,1,-Q +GP,-Q,+GP,4995.25,3.6985572284786197
4,1410,SLOW,3,3,he,had,wanted to,cram,under,into,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,FALSE,FALSE,8559.12,4.3EDN,4020,8130,12698.38,3960,6009.12,429.12,1,-Q -GP,-Q,-GP,8559.12,3.9324291152857813
4,1410,SLOW,12,12,he,had,planned to,stick,on,onto,from,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,FALSE,7605.25,4.12EQN,3300,7080,10997.75,2970,4875.25,525.25,1,+Q -GP,+Q,-GP,7605.25,3.8811134947645516
4,1410,SLOW,15,15,she,had,wanted to,set,on,into,of,4,F,3,2,0,3,Summer,MONDAY,1300,6/25,FALSE,TRUE,FALSE,5152.75,4.15EQN,2610,4740,8616.75,4890,6802.75,412.75,1,+Q -GP,+Q,-GP,5152.75,3.7120390719673217
