Participant,Item,Filename,Leading,Trailing,Length,isFiller.x,Condition_Q.x,Condition_GP.x,Utterance length,Reading,reading,R1 Leading,r1delbyp,r1DelCat,target,SUBJ,AUX,Asp,V,P1,P2+GP,P2-GP,ID,Gender,lightReading,bookReading,Monolingual,ease,Semester,DOTW,timeslot,DATE,isFiller.y,Condition_Q.y,Condition_GP.y,irt,File_pair,R2 UL,R2 Lead,R2 FL,R1 UL,R1 FL,R1 Trail,wkd,cond,Q,GP,win_irt,wirt.log10
1,4,1.4EQY_r1.wav,1890,2156.25,7256.25,FALSE,TRUE,TRUE,3210,Cold,1,1890,1396.875,SLOW,4,she,had,planned to,cram,in,into,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,4556.25,1.4EQY,2160,2400,7256.25,3210,7256.25,2156.25,5,+Q +GP,+Q,+GP,4556.25,3.6586075456620497
1,5,1.5EQN_r1.wav,1500,1131.88,4761.88,FALSE,TRUE,FALSE,2130,Cold,1,1500,1396.875,SLOW,5,he,had,intended to,put,on,into,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,FALSE,2601.88,1.5EQN,3960,1470,5782.38,2130,4761.88,1131.88,5,+Q -GP,+Q,-GP,2601.88,3.415287262809886
1,6,1.6EQY_r1.wav,1500,1932.12,5442.12,FALSE,TRUE,TRUE,2010,Cold,1,1500,1396.875,SLOW,6,she,had,decided to,put,on,onto,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,TRUE,TRUE,4032.12,1.6EQY,2070,2100,7142.88,2010,5442.12,1932.12,5,+Q +GP,+Q,+GP,4032.12,3.605533448676139
1,7,1.7EDY_r1.wav,1260,1095.75,5895.75,FALSE,FALSE,TRUE,3540,Cold,1,1260,1396.875,SLOW,7,he,had,wanted to,put,on,onto,from,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,2655.75,1.7EDY,2760,1560,6122.5,3540,5895.75,1095.75,5,-Q +GP,-Q,+GP,2655.75,3.4241871901498113
1,8,1.8EDY_r1.wav,1230,2046.38,7596.38,FALSE,FALSE,TRUE,4320,Cold,1,1230,1396.875,SLOW,8,she,had,planned to,put,in,onto,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,TRUE,3726.38,1.8EDY,2880,1680,7369.62,4320,7596.38,2046.38,5,-Q +GP,-Q,+GP,3726.38,3.5712871402779425
1,9,1.9EDN_r1.wav,1920,302.5,6122.5,FALSE,FALSE,FALSE,3900,Cold,1,1920,1396.875,SLOW,9,she,had,intended to,stick,in,onto,of,1,F,4,1,0,3,Summer,FRIDAY,1300,6/22,FALSE,FALSE,FALSE,1892.5,1.9EDN,3420,1590,6689.38,3900,6122.5,302.5,5,-Q -GP,-Q,-GP,1892.5,3.2770358881721102
10,1,10.1EQY_r1.wav,960,1479.5,7029.5,FALSE,TRUE,TRUE,4590,Cold,1,960,1177.5,NORMAL,1,he,had,intended to,cram,in,into,of,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,TRUE,TRUE,8979.5,10.1EQY,4320,7500,13151.88,4590,7029.5,1479.5,4,+Q +GP,+Q,+GP,8979.5,3.9532521547868504
10,10,10.10EDY_r1.wav,990,1422.62,6462.62,FALSE,FALSE,TRUE,4050,Cold,1,990,1177.5,NORMAL,10,he,had,decided to,stick,in,into,from,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,FALSE,TRUE,9612.62,10.10EDY,4890,8190,14285.75,4050,6462.62,1422.62,4,-Q +GP,-Q,+GP,9612.62,3.9828417743972673
10,11,10.11EQN_r1.wav,960,3189.88,8049.88,FALSE,TRUE,FALSE,3900,Cold,1,960,1177.5,NORMAL,11,she,had,wanted to,stick,in,into,of,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,TRUE,FALSE,8199.88,10.11EQN,3360,5010,9750.62,3900,8049.88,3189.88,4,+Q -GP,+Q,-GP,8199.88,3.913807496808209
10,12,10.12EQY_r1.wav,1320,1009.25,6349.25,FALSE,TRUE,TRUE,4020,Cold,1,1320,1177.5,NORMAL,12,he,had,planned to,stick,on,onto,from,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,TRUE,TRUE,9559.25,10.12EQY,3990,8550,13718.88,4020,6349.25,1009.25,4,+Q +GP,+Q,+GP,9559.25,3.98042381971974
10,13,10.13EQN_r1.wav,1740,1916.25,7256.25,FALSE,TRUE,FALSE,3600,Cold,1,1740,1177.5,NORMAL,13,she,had,intended to,set,in,onto,from,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,TRUE,FALSE,9296.25,10.13EQN,3390,7380,12018.12,3600,7256.25,1916.25,4,+Q -GP,+Q,-GP,9296.25,3.9683077944955403
10,14,10.14EDN_r1.wav,1590,1992.62,6462.62,FALSE,FALSE,FALSE,2880,Cold,1,1590,1177.5,NORMAL,14,he,had,decided to,set,on,onto,of,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,FALSE,FALSE,8292.62,10.14EDN,3540,6300,11337.88,2880,6462.62,1992.62,4,-Q -GP,-Q,-GP,8292.62,3.9186917647813004
10,15,10.15EQY_r1.wav,960,1412.5,6122.5,FALSE,TRUE,TRUE,3750,Cold,1,960,1177.5,NORMAL,15,she,had,wanted to,set,on,into,of,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,TRUE,TRUE,10322.5,10.15EQY,3690,8910,14059,3750,6122.5,1412.5,4,+Q +GP,+Q,+GP,10322.5,4.01378489154674
10,16,10.16EDN_r1.wav,1140,879.12,6009.12,FALSE,FALSE,FALSE,3990,Cold,1,1140,1177.5,NORMAL,16,he,had,planned to,set,on,onto,from,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,FALSE,FALSE,9759.12,10.16EDN,3750,8880,13832.25,3990,6009.12,879.12,4,-Q -GP,-Q,-GP,9759.12,3.989410658202092
10,2,10.2EDY_r1.wav,1080,1629.5,7029.5,FALSE,FALSE,TRUE,4320,Cold,1,1080,1177.5,NORMAL,2,she,had,decided to,cram,in,into,from,10,F,4,1,1,3,Summer,THURSDAY,1100,7/5,FALSE,FALSE,TRUE,9399.5,10.2EDY,4260,7770,13718.88,4320,7029.5,1629.5,4,-Q +GP,-Q,+GP,9399.5,3.9731047522149807
